gene	pDN	pGOF	pLOF	pDN_missing	pGOF_missing	pLOF_missing	pfam_family	is_singleton_family_badonyi	pDN_familyresid	pGOF_familyresid	pLOF_familyresid	pDN_familyresid_missing	pGOF_familyresid_missing	pLOF_familyresid_missing
ABCG5	0.700267	0.790022	0.252908	0.0	0.0	0.0	PF01061	0	0.007830499999999962	0.019396999999999998	-0.016005999999999965	0.0	0.0	0.0
ABCG8	0.684606	0.751228	0.28492	0.0	0.0	0.0	PF01061	0	-0.007830499999999962	-0.019396999999999998	0.01600600000000002	0.0	0.0	0.0
ABHD12	0.691605	0.58349	0.264956	0.0	0.0	0.0	PF00561	0	0.007950333333333393	-0.0240813333333334	0.00829000000000002	0.0	0.0	0.0
ABHD16A	0.454477	0.49522	0.472989	0.0	0.0	0.0	PF22990	1	0.0	0.0	0.0	1.0	1.0	1.0
ABHD5	0.657928	0.559847	0.300873	0.0	0.0	0.0	PF00561	0	-0.025726666666666675	-0.04772433333333337	0.044206999999999996	0.0	0.0	0.0
ABL1	0.4475	0.549764	0.725096	0.0	0.0	0.0	PF08919	1	0.0	0.0	0.0	1.0	1.0	1.0
ACAD8	0.704512	0.691317	0.356066	0.0	0.0	0.0	PF00441	0	-0.03758950000000005	-0.012555333333333363	0.04012566666666667	0.0	0.0	0.0
ACAD9	0.773761	0.696154	0.222192	0.0	0.0	0.0	PF21343	0	0.040801500000000046	0.02594949999999996	-0.03914500000000004	0.0	0.0	0.0
ACADM	0.730994	0.689694	0.342241	0.0	0.0	0.0	PF00441	0	-0.011107500000000048	-0.014178333333333293	0.026300666666666694	0.0	0.0	0.0
ACADS	0.815488	0.756533	0.229005	0.0	0.0	0.0	PF00441	0	0.07338649999999991	0.05266066666666669	-0.08693533333333334	0.0	0.0	0.0
ACADSB	0.709614	0.707815	0.314918	0.0	0.0	0.0	PF00441	0	-0.032487500000000114	0.00394266666666665	-0.0010223333333333473	0.0	0.0	0.0
ACADVL	0.692158	0.644255	0.300482	0.0	0.0	0.0	PF21343	0	-0.040801499999999935	-0.02594950000000007	0.039144999999999985	0.0	0.0	0.0
ACAN	0.50717	0.510583	0.531705	0.0	0.0	0.0	PF00059	0	0.04750500000000002	-0.045182500000000014	-0.03096550000000009	0.0	0.0	0.0
ACAT1	0.762371	0.593615	0.3942	0.0	0.0	0.0	PF02803	0	0.014593999999999996	-0.005655999999999994	-0.009681999999999968	0.0	0.0	0.0
ACBD5	0.688061	0.530403	0.303198	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ACBD6	0.585679	0.605125	0.262271	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ACE	0.613282	0.690578	0.302405	0.0	0.0	0.0	PF01401	1	0.0	0.0	0.0	1.0	1.0	1.0
ACER3	0.692763	0.60585	0.319254	0.0	0.0	0.0	PF05875	1	0.0	0.0	0.0	1.0	1.0	1.0
ACO2	0.634952	0.56075	0.455698	0.0	0.0	0.0	PF00330	1	0.0	0.0	0.0	1.0	1.0	1.0
ACOX1	0.726925	0.714996	0.214962	0.0	0.0	0.0	PF01756	1	0.0	0.0	0.0	1.0	1.0	1.0
ACP5	0.691727	0.618083	0.271977	0.0	0.0	0.0	PF00149	0	0.16231150000000005	0.1510995	-0.25455025	0.0	0.0	0.0
ACSL4	0.411464	0.471632	0.634507	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ACTB	0.469502	0.629776	0.790348	0.0	0.0	0.0	PF00022	0	-0.16602033333333333	0.01687133333333335	0.31447	0.0	0.0	0.0
ACTG1	0.700116	0.532099	0.305504	0.0	0.0	0.0	PF00022	0	0.06459366666666666	-0.08080566666666666	-0.17037400000000003	0.0	0.0	0.0
ACTL6B	0.736949	0.676839	0.331782	0.0	0.0	0.0	PF00022	0	0.10142666666666666	0.06393433333333332	-0.144096	0.0	0.0	0.0
ACVR1	0.554978	0.647098	0.481254	0.0	0.0	0.0	PF01064	0	0.0821424	0.04463179999999989	-0.12417139999999999	0.0	0.0	0.0
ACVRL1	0.721519	0.768425	0.308363	0.0	0.0	0.0	PF07714	0	0.158516	0.07911866666666656	-0.1822634999999999	0.0	0.0	0.0
ACY1	0.703922	0.647712	0.269379	0.0	0.0	0.0	PF07687	1	0.0	0.0	0.0	1.0	1.0	1.0
ADA	0.67245	0.610898	0.347557	0.0	0.0	0.0	PF00962	0	-0.029883499999999952	0.003933999999999993	0.06092049999999999	0.0	0.0	0.0
ADA2	0.732217	0.60303	0.225716	0.0	0.0	0.0	PF00962	0	0.029883500000000063	-0.003934000000000104	-0.060920500000000016	0.0	0.0	0.0
ADAM22	0.613019	0.611149	0.407719	0.0	0.0	0.0	PF08516	1	0.0	0.0	0.0	1.0	1.0	1.0
ADAM9	0.720532	0.663464	0.262921	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ADAMTS10	0.498259	0.549757	0.535908	0.0	0.0	0.0	PF17771	0	-0.09692066666666665	-0.043855333333333246	0.13031500000000001	0.0	0.0	0.0
ADAMTS13	0.671046	0.712352	0.262094	0.0	0.0	0.0	PF17771	0	0.07586633333333337	0.11873966666666669	-0.14349900000000004	0.0	0.0	0.0
ADAMTS17	0.703172	0.624673	0.305533	0.0	0.0	0.0	PF23178	1	0.0	0.0	0.0	1.0	1.0	1.0
ADAMTS18	0.616234	0.518728	0.418777	0.0	0.0	0.0	PF17771	0	0.021054333333333286	-0.07488433333333333	0.013183999999999974	0.0	0.0	0.0
ADAMTS19	0.640849	0.593901	0.359711	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ADAMTS2	0.464079	0.52048	0.57171	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ADAMTSL2	0.690991	0.591851	0.336185	0.0	0.0	0.0	PF19236	0	0.05869800000000003	0.03206600000000004	-0.06777850000000002	0.0	0.0	0.0
ADAMTSL4	0.573595	0.527719	0.471742	0.0	0.0	0.0	PF19236	0	-0.05869800000000003	-0.03206599999999993	0.06777849999999996	0.0	0.0	0.0
ADAR	0.572888	0.476121	0.463649	0.0	0.0	0.0	PF02137	1	0.0	0.0	0.0	1.0	1.0	1.0
ADCY5	0.52733	0.72786	0.589792	0.0	0.0	0.0	PF16214	1	0.0	0.0	0.0	1.0	1.0	1.0
ADGRG1	0.749767	0.695106	0.254855	0.0	0.0	0.0	PF00002	0	-0.003022500000000039	-0.033882999999999996	-0.03426499999999999	0.0	0.0	0.0
ADGRG6	0.763242	0.698644	0.264006	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ADGRV1	0.694157	0.604671	0.341455	0.0	0.0	0.0	PF00002	0	-0.058632499999999976	-0.12431800000000004	0.05233500000000002	0.0	0.0	0.0
ADK	0.696671	0.558593	0.283236	0.0	0.0	0.0	PF00294	1	0.0	0.0	0.0	1.0	1.0	1.0
ADNP	0.190774	0.171733	0.846752	0.0	0.0	0.0	PF19627	1	0.0	0.0	0.0	1.0	1.0	1.0
ADPRS	0.585297	0.633492	0.281839	0.0	0.0	0.0	PF03747	1	0.0	0.0	0.0	1.0	1.0	1.0
ADSL	0.693302	0.55016	0.397833	0.0	0.0	0.0	PF10397	1	0.0	0.0	0.0	1.0	1.0	1.0
AFF4	0.159809	0.14088	0.909921	0.0	0.0	0.0	PF05110	1	0.0	0.0	0.0	1.0	1.0	1.0
AFG2A	0.622559	0.560552	0.372742	1.0	1.0	1.0	PF00004	0	-0.009567090909090914	0.07983090909090917	-0.05787872727272725	0.0	0.0	0.0
AFG3L2	0.814857	0.609038	0.281098	0.0	0.0	0.0	PF00004	0	0.18273090909090917	0.1283169090909091	-0.14952272727272725	0.0	0.0	0.0
AGA	0.691487	0.639166	0.319451	0.0	0.0	0.0	PF01112	0	0.0851885	0.129405	-0.12250299999999997	0.0	0.0	0.0
AGBL5	0.60849	0.459525	0.41681	0.0	0.0	0.0	PF18027	0	0.09323199999999998	0.010294999999999999	-0.03415950000000001	0.0	0.0	0.0
AGK	0.715111	0.589129	0.256953	0.0	0.0	0.0	PF19712	1	0.0	0.0	0.0	1.0	1.0	1.0
AGL	0.516965	0.348489	0.402767	0.0	0.0	0.0	PF06202	1	0.0	0.0	0.0	1.0	1.0	1.0
AGPAT2	0.587941	0.586658	0.368557	0.0	0.0	0.0	PF01553	0	0.013690000000000091	0.07482733333333336	-0.016175333333333264	0.0	0.0	0.0
AGPS	0.31769	0.365365	0.722656	0.0	0.0	0.0	PF02913	0	-0.22792050000000003	-0.140673	0.22292649999999997	0.0	0.0	0.0
AGRN	0.645057	0.678687	0.285845	0.0	0.0	0.0	PF00008	0	-0.025196444444444466	0.025255333333333407	-0.010419111111111101	0.0	0.0	0.0
AGT	0.54639	0.64447	0.268766	0.0	0.0	0.0	PF00079	0	-0.024585666666666617	0.0017336666666665224	0.03029166666666669	0.0	0.0	0.0
AGTPBP1	0.422026	0.438935	0.485129	0.0	0.0	0.0	PF18027	0	-0.09323199999999998	-0.010294999999999999	0.034159499999999954	0.0	0.0	0.0
AGTR1	0.807975	0.794668	0.178146	0.0	0.0	0.0	PF00001	0	0.09284575000000006	0.04272324999999999	-0.14151300000000003	0.0	0.0	0.0
AGXT	0.739168	0.5687	0.307583	0.0	0.0	0.0	PF00266	0	0.06317949999999994	0.06241200000000002	-0.02874150000000003	0.0	0.0	0.0
AHCY	0.679975	0.563701	0.353092	0.0	0.0	0.0	PF05221	1	0.0	0.0	0.0	1.0	1.0	1.0
AHDC1	0.15102	0.204983	0.913639	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AHI1	0.600746	0.690074	0.451359	0.0	0.0	0.0	PF00018	1	0.0	0.0	0.0	1.0	1.0	1.0
AICDA	0.718001	0.731308	0.23672	0.0	0.0	0.0	PF08210	1	0.0	0.0	0.0	1.0	1.0	1.0
AIMP1	0.586192	0.410101	0.457679	0.0	0.0	0.0	PF01588	1	0.0	0.0	0.0	1.0	1.0	1.0
AIP	0.63376	0.701506	0.275078	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AIPL1	0.670979	0.751511	0.261615	0.0	0.0	0.0	PF23322	1	0.0	0.0	0.0	1.0	1.0	1.0
AIRE	0.456676	0.57117	0.428207	0.0	0.0	0.0	PF03172	1	0.0	0.0	0.0	1.0	1.0	1.0
AK1	0.812998	0.589694	0.214571	0.0	0.0	0.0	PF00406	0	0.02535949999999998	0.02182099999999998	-0.029418	0.0	0.0	0.0
AK2	0.762279	0.546052	0.273407	0.0	0.0	0.0	PF00406	0	-0.02535949999999998	-0.02182100000000009	0.029418	0.0	0.0	0.0
AKR1C2	0.761054	0.63787	0.250119	0.0	0.0	0.0	PF00248	0	0.002406999999999937	-0.020791499999999963	0.004006499999999996	0.0	0.0	0.0
AKR1D1	0.75624	0.679453	0.242106	0.0	0.0	0.0	PF00248	0	-0.002407000000000048	0.020791499999999963	-0.004006499999999996	0.0	0.0	0.0
AKT1	0.66425	0.830988	0.660736	0.0	0.0	0.0	PF00169	0	0.09701024999999996	0.1737415	0.13645724999999997	0.0	0.0	0.0
AKT3	0.301997	0.449832	0.722185	0.0	0.0	0.0	PF00169	0	-0.26524275	-0.20741449999999995	0.19790624999999995	0.0	0.0	0.0
ALAD	0.757951	0.461202	0.246394	0.0	0.0	0.0	PF00490	1	0.0	0.0	0.0	1.0	1.0	1.0
ALDH18A1	0.729796	0.568667	0.37815	0.0	0.0	0.0	PF00696	0	0.073542	0.056506000000000056	-0.0011729999999999796	0.0	0.0	0.0
ALDH1A3	0.76253	0.673824	0.261487	0.0	0.0	0.0	PF00171	0	0.023932000000000064	0.005727599999999944	-0.038605	0.0	0.0	0.0
ALDH3A2	0.792605	0.748083	0.196192	0.0	0.0	0.0	PF00171	0	0.05400700000000003	0.07998660000000002	-0.10390000000000002	0.0	0.0	0.0
ALDH4A1	0.725114	0.652545	0.308402	0.0	0.0	0.0	PF00171	0	-0.01348399999999994	-0.015551399999999993	0.008309999999999984	0.0	0.0	0.0
ALDH5A1	0.751819	0.6367	0.299206	0.0	0.0	0.0	PF00171	0	0.013221000000000038	-0.03139639999999999	-0.0008859999999999979	0.0	0.0	0.0
ALDH7A1	0.660922	0.62933	0.435173	0.0	0.0	0.0	PF00171	0	-0.07767599999999997	-0.03876640000000009	0.13508099999999995	0.0	0.0	0.0
ALDOB	0.755907	0.449539	0.288307	0.0	0.0	0.0	PF00274	1	0.0	0.0	0.0	1.0	1.0	1.0
ALG1	0.58092	0.51562	0.372229	0.0	0.0	0.0	PF00534	0	0.06652849999999999	0.03831849999999998	-0.13474650000000005	0.0	0.0	0.0
ALG11	0.606793	0.500514	0.398774	0.0	0.0	0.0	PF15924	1	0.0	0.0	0.0	1.0	1.0	1.0
ALG12	0.668786	0.601916	0.292875	0.0	0.0	0.0	PF03901	0	0.0029969999999999164	0.06050333333333335	-0.022569666666666655	0.0	0.0	0.0
ALG2	0.678074	0.593959	0.274503	0.0	0.0	0.0	PF13439	1	0.0	0.0	0.0	1.0	1.0	1.0
ALG3	0.631569	0.576667	0.352268	0.0	0.0	0.0	PF05208	1	0.0	0.0	0.0	1.0	1.0	1.0
ALG6	0.686434	0.559585	0.272422	0.0	0.0	0.0	PF03155	0	-0.03041399999999994	-0.0057234999999999925	0.01891100000000001	0.0	0.0	0.0
ALG8	0.747262	0.571032	0.2346	0.0	0.0	0.0	PF03155	0	0.030414000000000052	0.0057234999999999925	-0.018910999999999983	0.0	0.0	0.0
ALG9	0.618318	0.517456	0.334039	0.0	0.0	0.0	PF03901	0	-0.04747100000000004	-0.023956666666666626	0.018594333333333324	0.0	0.0	0.0
ALK	0.694179	0.72225	0.304341	0.0	0.0	0.0	PF12810	1	0.0	0.0	0.0	1.0	1.0	1.0
ALMS1	0.555184	0.443466	0.520227	0.0	0.0	0.0	PF15309	1	0.0	0.0	0.0	1.0	1.0	1.0
ALOX12B	0.617345	0.701643	0.256905	0.0	0.0	0.0	PF00305	0	0.04632449999999999	0.03608549999999999	-0.04889399999999999	0.0	0.0	0.0
ALOXE3	0.524696	0.629472	0.354693	0.0	0.0	0.0	PF00305	0	-0.04632449999999999	-0.03608549999999999	0.04889399999999999	0.0	0.0	0.0
ALPK3	0.556668	0.590555	0.457724	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ALPL	0.742372	0.599129	0.227024	0.0	0.0	0.0	PF00245	1	0.0	0.0	0.0	1.0	1.0	1.0
ALS2	0.567866	0.594673	0.369495	0.0	0.0	0.0	PF25582	1	0.0	0.0	0.0	1.0	1.0	1.0
ALX1	0.722722	0.355069	0.593461	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ALX3	0.729779	0.485589	0.535098	0.0	0.0	0.0	PF00046	0	0.1319868823529411	0.07564947058823529	-0.12293182352941179	0.0	0.0	0.0
ALX4	0.608519	0.395968	0.652553	0.0	0.0	0.0	PF00046	0	0.01072688235294117	-0.013971529411764716	-0.005476823529411701	0.0	0.0	0.0
AMACR	0.69525	0.59266	0.255404	0.0	0.0	0.0	PF02515	1	0.0	0.0	0.0	1.0	1.0	1.0
AMER1	0.356698	0.420208	0.717641	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AMN	0.658775	0.669512	0.219976	0.0	0.0	0.0	PF14828	1	0.0	0.0	0.0	1.0	1.0	1.0
AMPD2	0.62643	0.604725	0.378538	0.0	0.0	0.0	PF19326	1	0.0	0.0	0.0	1.0	1.0	1.0
AMT	0.74464	0.732149	0.340365	0.0	0.0	0.0	PF01571	1	0.0	0.0	0.0	1.0	1.0	1.0
ANAPC1	0.328036	0.308296	0.714248	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ANGPTL3	0.685713	0.589686	0.30186	0.0	0.0	0.0	PF00147	1	0.0	0.0	0.0	1.0	1.0	1.0
ANK2	0.432417	0.492658	0.731054	0.0	0.0	0.0	PF00023	0	-0.12636481818181816	-0.16920072727272745	0.292255	0.0	0.0	0.0
ANKH	0.685025	0.619685	0.313189	0.0	0.0	0.0	PF07260	1	0.0	0.0	0.0	1.0	1.0	1.0
ANKRD17	0.166859	0.249749	0.891847	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ANO10	0.665507	0.7622	0.261791	0.0	0.0	0.0	PF04547	1	0.0	0.0	0.0	1.0	1.0	1.0
ANTXR1	0.481525	0.626626	0.601355	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ANTXR2	0.723839	0.787509	0.285244	0.0	0.0	0.0	PF05586	1	0.0	0.0	0.0	1.0	1.0	1.0
AP1B1	0.369369	0.363857	0.603522	0.0	0.0	0.0	PF01602	0	-0.09424600000000005	-0.05086466666666667	0.06028099999999992	0.0	0.0	0.0
AP1G1	0.416158	0.438128	0.610813	0.0	0.0	0.0	PF01602	0	-0.04745700000000008	0.023406333333333362	0.06757199999999997	0.0	0.0	0.0
AP1S2	0.468174	0.554482	0.547649	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AP3B1	0.605318	0.44218	0.415388	0.0	0.0	0.0	PF01602	0	0.14170299999999997	0.027458333333333362	-0.1278530000000001	0.0	0.0	0.0
AP3B2	0.529492	0.382884	0.488368	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AP4B1	0.616996	0.598998	0.270006	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AP4E1	0.668173	0.591704	0.278864	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AP4M1	0.437945	0.389492	0.536802	0.0	0.0	0.0	PF00928	1	0.0	0.0	0.0	1.0	1.0	1.0
AP4S1	0.719643	0.644367	0.233283	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
APC	0.38151	0.357596	0.809377	0.0	0.0	0.0	PF05972	1	0.0	0.0	0.0	1.0	1.0	1.0
APC2	0.413768	0.511578	0.752373	0.0	0.0	0.0	PF05956	1	0.0	0.0	0.0	1.0	1.0	1.0
APOA1	0.523436	0.708484	0.112032	0.0	0.0	0.0	PF01442	1	0.0	0.0	0.0	1.0	1.0	1.0
APOB	0.737083	0.303199	0.326729	0.0	0.0	0.0	PF12491	1	0.0	0.0	0.0	1.0	1.0	1.0
APOC2	0.601677	0.663435	0.14317	0.0	0.0	0.0	PF05355	1	0.0	0.0	0.0	1.0	1.0	1.0
APRT	0.565929	0.544997	0.397258	0.0	0.0	0.0	PF00156	0	0.1360745	0.09122649999999999	-0.15281	0.0	0.0	0.0
APTX	0.596528	0.326427	0.462185	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
AR	0.337461	0.375851	0.850154	0.0	0.0	0.0	PF02166	1	0.0	0.0	0.0	1.0	1.0	1.0
ARCN1	0.269452	0.267602	0.753116	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARFGEF1	0.361686	0.507277	0.654026	0.0	0.0	0.0	PF20252	1	0.0	0.0	0.0	1.0	1.0	1.0
ARFGEF2	0.384834	0.560522	0.611895	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARG1	0.74952	0.483901	0.318622	0.0	0.0	0.0	PF00491	1	0.0	0.0	0.0	1.0	1.0	1.0
ARHGAP31	0.396226	0.53852	0.708154	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARHGAP35	0.263531	0.360327	0.770369	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARHGDIA	0.610089	0.507065	0.256566	0.0	0.0	0.0	PF02115	1	0.0	0.0	0.0	1.0	1.0	1.0
ARHGEF9	0.310202	0.518498	0.706675	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARID1A	0.145169	0.160881	0.90637	0.0	0.0	0.0	PF01388	0	-0.11700624999999998	-0.1932685	0.16514799999999996	0.0	0.0	0.0
ARID1B	0.15186	0.156782	0.911056	0.0	0.0	0.0	PF01388	0	-0.11031524999999998	-0.1973675	0.16983399999999993	0.0	0.0	0.0
ARID2	0.211623	0.136167	0.826558	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARL2BP	0.814376	0.722737	0.176131	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARL6	0.78377	0.723366	0.259462	0.0	0.0	0.0	PF00025	0	-0.0020259999999999723	-0.004179500000000003	0.0069330000000000225	0.0	0.0	0.0
ARMC9	0.596217	0.586336	0.427688	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ARPC1B	0.696092	0.470844	0.399716	0.0	0.0	0.0	PF00400	0	0.02483462500000011	-0.04522787499999997	0.0010022500000000378	0.0	0.0	0.0
ARSA	0.632585	0.604407	0.308428	0.0	0.0	0.0	PF00884	0	-0.006991666666666618	0.03501516666666671	-0.05194749999999998	0.0	0.0	0.0
ARSB	0.717902	0.62149	0.275134	0.0	0.0	0.0	PF00884	0	0.07832533333333347	0.05209816666666667	-0.08524149999999997	0.0	0.0	0.0
ARSL	0.633253	0.548631	0.325587	0.0	0.0	0.0	PF00884	0	-0.006323666666666616	-0.02076083333333334	-0.034788499999999944	0.0	0.0	0.0
ARX	0.321571	0.284575	0.85342	0.0	0.0	0.0	PF00046	0	-0.27622111764705887	-0.12536452941176468	0.1953901764705882	0.0	0.0	0.0
ASAH1	0.586851	0.545433	0.340284	0.0	0.0	0.0	PF02275	1	0.0	0.0	0.0	1.0	1.0	1.0
ASL	0.743076	0.610037	0.326244	0.0	0.0	0.0	PF14698	1	0.0	0.0	0.0	1.0	1.0	1.0
ASNS	0.72745	0.66775	0.288998	0.0	0.0	0.0	PF00733	1	0.0	0.0	0.0	1.0	1.0	1.0
ASPA	0.625612	0.427399	0.298299	0.0	0.0	0.0	PF24827	1	0.0	0.0	0.0	1.0	1.0	1.0
ASPH	0.572791	0.493602	0.283416	0.0	0.0	0.0	PF05279	0	0.02812199999999998	0.09454099999999999	-0.132314	0.0	0.0	0.0
ASPM	0.685011	0.674767	0.235278	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ASRGL1	0.723723	0.613077	0.33268	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ASS1	0.698146	0.562146	0.338783	0.0	0.0	0.0	PF20979	1	0.0	0.0	0.0	1.0	1.0	1.0
ASXL1	0.547562	0.426133	0.505959	0.0	0.0	0.0	PF13919	1	0.0	0.0	0.0	1.0	1.0	1.0
ASXL2	0.248221	0.213493	0.828796	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ASXL3	0.222043	0.222489	0.809059	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ATAD3A	0.846711	0.771314	0.203268	0.0	0.0	0.0	PF00004	0	0.2145849090909091	0.2905929090909092	-0.22735272727272726	0.0	0.0	0.0
ATF6	0.700728	0.235319	0.441904	0.0	0.0	0.0	PF00170	1	0.0	0.0	0.0	1.0	1.0	1.0
ATG5	0.355501	0.380388	0.666922	0.0	0.0	0.0	PF20637	1	0.0	0.0	0.0	1.0	1.0	1.0
ATG7	0.654244	0.487283	0.308332	0.0	0.0	0.0	PF16420	1	0.0	0.0	0.0	1.0	1.0	1.0
ATIC	0.563336	0.3845	0.471159	0.0	0.0	0.0	PF01808	1	0.0	0.0	0.0	1.0	1.0	1.0
ATL1	0.569413	0.632618	0.464486	0.0	0.0	0.0	PF02263	0	-0.08410650000000008	-0.048655000000000004	0.12764400000000004	0.0	0.0	0.0
ATL3	0.737626	0.729928	0.209198	0.0	0.0	0.0	PF02263	0	0.08410649999999997	0.048655000000000004	-0.12764399999999998	0.0	0.0	0.0
ATM	0.646042	0.432325	0.317537	0.0	0.0	0.0	PF02259	0	0.07558633333333331	-0.031926666666666714	-0.126506	0.0	0.0	0.0
ATOH7	0.617517	0.470303	0.546192	0.0	0.0	0.0	PF00010	0	0.11713837500000002	0.137495625	-0.15661349999999996	0.0	0.0	0.0
ATP1A2	0.804799	0.824774	0.20155	0.0	0.0	0.0	PF13246	0	0.1515982857142858	0.0908607142857144	-0.15825500000000003	0.0	0.0	0.0
ATP1A3	0.404491	0.657199	0.613862	0.0	0.0	0.0	PF13246	0	-0.24870971428571426	-0.07671428571428562	0.254057	0.0	0.0	0.0
ATP2A1	0.784186	0.836223	0.199632	0.0	0.0	0.0	PF13246	0	0.1309852857142858	0.10230971428571445	-0.16017300000000004	0.0	0.0	0.0
ATP2A2	0.479878	0.620342	0.546923	0.0	0.0	0.0	PF13246	0	-0.17332271428571422	-0.11357128571428565	0.187118	0.0	0.0	0.0
ATP2C1	0.550848	0.668467	0.521552	0.0	0.0	0.0	PF13246	0	-0.10235271428571424	-0.06544628571428557	0.16174699999999997	0.0	0.0	0.0
ATP5F1A	0.695864	0.465749	0.478407	0.0	0.0	0.0	PF00006	0	0.04359766666666676	-2.3333333333375172e-05	0.004064666666666661	0.0	0.0	0.0
ATP5F1D	0.692285	0.443134	0.329566	0.0	0.0	0.0	PF02823	1	0.0	0.0	0.0	1.0	1.0	1.0
ATP5F1E	0.667724	0.751783	0.387634	0.0	0.0	0.0	PF04627	1	0.0	0.0	0.0	1.0	1.0	1.0
ATP6V0A2	0.729169	0.765354	0.208181	0.0	0.0	0.0		1	0.0	0.0	0.0	1.0	1.0	1.0
ATP6V0C	0.7319	0.679955	0.344527	0.0	0.0	0.0	PF00137	1	0.0	0.0	0.0	1.0	1.0	1.0
