gene	pfam_family	is_singleton_family	pLI	pLI_missing	pLI_familyresid	pLI_familyresid_missing	LOEUF	LOEUF_missing	LOEUF_familyresid	LOEUF_familyresid_missing	mis_z	mis_z_missing	mis_z_familyresid	mis_z_familyresid_missing	paralog_count	paralog_count_missing	paralog_count_familyresid	paralog_count_familyresid_missing	tissue_specificity_tau	tissue_specificity_tau_missing	tissue_specificity_tau_familyresid	tissue_specificity_tau_familyresid_missing	log_abundance_ppm	log_abundance_ppm_missing	log_abundance_ppm_familyresid	log_abundance_ppm_familyresid_missing	PPI_degree	PPI_degree_missing	PPI_degree_familyresid	PPI_degree_familyresid_missing	HI_score	HI_score_missing	HI_score_familyresid	HI_score_familyresid_missing	TS_score	TS_score_missing	TS_score_familyresid	TS_score_familyresid_missing
ABCC9	PF00664	0	7.2745e-06	0	5.455874997610075e-06	0	0.557	0	-0.28425	0	7.0369	0	4.987025000000001	0	11	0	0.25	0	0.2	0	-0.3499999999999999	0	-2.0969100130080562	0	-0.6731166277638261	0	1	0	0.0	0		1		1		1		1
ABCD1	PF06472	0		1		1		1		1		1		1	3	0	0.0	0	0.2	0	0.0	0	-0.04431224968649419	0	0.32196694462887576	0	25	0	-1.0	0	3	0	0.0	0	0	0	0.0	0
ABCD4	PF06472	0	4.0217e-10	0	0.0	0	0.772	0	0.0	0	0.53147	0	0.0	0	3	0	0.0	0	0.2	0	0.0	0	-0.6882461389442457	0	-0.32196694462887576	0	27	0	1.0	0		1		1		1		1
ABCG5	PF01061	0	8.1322e-20	0	4.066099999974034e-20	0	1.219	0	-0.05499999999999994	0	-1.0834	0	0.7631500000000002	0	4	0	0.0	0	0.7	0	0.0	0	-1.3279021420642825	0	-0.026089005832535594	0		1		1		1		1	0	0	0.0	0
ABCG8	PF01061	0	5.1931e-31	0	-4.066099999974035e-20	0	1.329	0	0.05499999999999994	0	-2.6097	0	-0.76315	0	4	0	0.0	0	0.7	0	0.0	0	-1.275724130399211	0	0.026089005832535817	0	4	0	0.0	0		1		1	0	0	0.0	0
ABHD12	PF00561	0	7.5081e-10	0	-1.5190612666666667e-07	0	0.967	0	-0.1216666666666667	0	-0.50211	0	-0.7844366666666667	0	7	0	-1.666666666666666	0	0.2	0	-0.1333333333333333	0	0.9186069151449818	0	-0.16050501797698358	0	11	0	5.0	0		1		1		1		1
ABHD16A	PF22990	1	4.0184e-07	0	0.0	0	0.686	0	0.0	0	1.9771	0	0.0	0	7	0	0.0	0	0.2	0	0.0	0	0.6731131042382337	0	0.0	0	11	0	0.0	0		1		1		1		1
ABHD5	PF00561	0	3.4236e-07	0	1.8970306333333333e-07	0	0.922	0	-0.16666666666666663	0	0.70878	0	0.4264533333333333	0	12	0	3.333333333333334	0	0.2	0	-0.1333333333333333	0	1.1173044466410025	0	0.038192513519037075	0	6	0	0.0	0		1		1		1		1
ABL1	PF08919	1	1.0	0	0.0	0	0.19	0	0.0	0	4.2885	0	0.0	0	32	0	0.0	0	0.2	0	0.0	0	0.07591176148277744	0	0.0	0	8	0	0.0	0		1		1		1		1
ACAD8	PF00441	0	6.951e-14	0	-4.865151083041666e-06	0	1.11	0	0.20116666666666672	0	0.88893	0	-0.003098333333333314	0	14	0	0.0	0	0.2	0	-0.2666666666666667	0	0.6849350826408896	0	-0.7239648421001302	0	11	0	5.0	0		1		1	0	0	0.0	0
ACAD9	PF21343	0	1.1413e-12	0	5.7064999987875e-13	0	0.884	0	-0.09649999999999992	0	0.86095	0	0.37999	0	14	0	0.0	0	0.2	0	0.0	0	1.4785809237422776	0	-0.38098541023922405	0	37	0	7.0	0		1		1		1		1
ACADM	PF00441	0	6.8458e-12	0	-4.865144306751666e-06	0	1.072	0	0.16316666666666668	0	0.42409	0	-0.4679383333333333	0	14	0	0.0	0	0.6	0	0.13333333333333325	0	2.0718856877522414	0	0.6629857630112215	0		1		1		1		1	0	0	0.0	0
ACADS	PF00441	0	3.5192e-06	0	-1.345951152551666e-06	0	0.852	0	-0.0568333333333334	0	0.79366	0	-0.09836833333333328	0	14	0	0.0	0	0.6	0	0.13333333333333325	0	1.346372536824548	0	-0.06252738791647183	0	8	0	2.0	0		1		1		1		1
ACADSB	PF00441	0	7.245e-07	0	-4.140651152551666e-06	0	0.891	0	-0.017833333333333368	0	-0.10091	0	-0.9929383333333333	0	14	0	0.0	0	0.6	0	0.13333333333333325	0	1.4713063829219797	0	0.0624064581809598	0	2	0	-4.0	0		1		1		1		1
ACADVL	PF21343	0	2.425e-22	0	-5.7064999987875e-13	0	1.077	0	0.09650000000000003	0	0.10097	0	-0.37999	0	14	0	0.0	0	0.2	0	0.0	0	2.240551744220726	0	0.3809854102392243	0	23	0	-7.0	0		1		1	0	0	0.0	0
ACAN	PF00059	0	1.0	0	0.0	0	0.377	0	0.006500000000000006	0	0.32052	0	2.99356	0	7	0	-1.5	0	0.8	0	0.10000000000000009	0	-0.21395878975744578	0	0.8199565872821581	0		1		1		1		1		1		1
ACAT1	PF02803	0	0.00031856	0	0.00010628500000000002	0	0.798	0	-0.1735	0	1.0654	0	0.11681499999999989	0	6	0	1.0	0	0.6	0	0.0	0	2.100373991885488	0	-0.11502090543621435	0	1	0	-12.0	0		1		1		1		1
ACBD5		0	2.2882e-06	0		1	0.734	0		1	1.6734	0		1	4	0		1	0.2	0		1	0.20167017964658152	0		1	6	0		1		1		1		1		1
ACBD6		0	1.2278e-05	0		1	1.037	0		1	0.15707	0		1	0	0		1	0.2	0		1	0.1525940779274697	0		1	13	0		1		1		1		1		1
ACE	PF01401	1	6.2381e-32	0	0.0	0	0.88	0	0.0	0	-0.50314	0	0.0	0	1	0	0.0	0	0.6	0	0.0	0	0.19340290306241747	0	0.0	0	2	0	0.0	0		1		1		1		1
ACER3	PF05875	1	0.30464	0	0.0	0	0.815	0	0.0	0	0.87127	0	0.0	0	2	0	0.0	0	0.2	0	0.0	0	0.4565178578052626	0	0.0	0	6	0	0.0	0		1		1		1		1
ACO2	PF00330	1	0.98113	0	0.0	0	0.489	0	0.0	0	4.3358	0	0.0	0	2	0	0.0	0	0.6	0	0.0	0	2.2900368385079966	0	0.0	0		1		1		1		1		1		1
ACOX1	PF01756	1	1.7103e-05	0	0.0	0	0.67	0	0.0	0	3.067	0	0.0	0	14	0	0.0	0	0.6	0	0.0	0	1.6785274836507977	0	0.0	0	27	0	0.0	0		1		1	0	0	0.0	0
ACP5	PF00149	0	8.6434e-08	0	-0.4999874352390075	0	1.14	0	0.51525	0	1.4621	0	-1.6938749999999998	0	0	0	-6.0	0	0.6	0	0.19999999999999996	0	-0.056011124926228104	0	-1.0532520260308686	0	6	0	-20.333333333333332	0		1		1	0	0	0.0	0
ACSL4		0		1		1		1		1		1		1	12	0		1	0.2	0		1	1.2810561045835043	0		1	18	0		1		1		1	0	0		1
ACTB	PF00022	0	1.0	0	0.5137633333330125	0	0.193	0	-0.39499999999999996	0	7.6921	0	2.3735	0	26	0	0.0	0	0.2	0	-0.16666666666666669	0	3.8384083414993295	0	1.3324235418274744	0	57	0	13.0	0	0	0	0.0	0	0	0	0.0	0
ACTG1	PF00022	0	0.45871	0	-0.027526666666987443	0	0.617	0	0.029000000000000026	0	4.8895	0	-0.42910000000000004	0	26	0	0.0	0	0.2	0	-0.16666666666666669	0	3.835690634893075	0	1.3297058352212199	0		1		1		1		1		1		1
ACTL6B	PF00022	0	9.6229e-13	0	-0.48623666666602516	0	0.954	0	0.366	0	3.3742	0	-1.9444	0	26	0	0.0	0	0.7	0	0.33333333333333326	0	-0.15614457737683893	0	-2.6621293770486942	0	31	0	-13.0	0		1		1		1		1
ACVR1	PF01064	0	2.4131e-08	0	-0.7928059806952001	0	0.835	0	0.3858	0	2.9548	0	-0.05859999999999976	0	11	0	0.0	0	0.2	0	-0.07999999999999996	0	-0.7099653886374819	0	0.2854420699421869	0	13	0	-3.3999999999999986	0		1		1		1		1
ACVRL1	PF07714	0	0.51066	0	-0.0760041435783333	0	0.57	0	-0.009500000000000064	0	3.1905	0	0.6659450000000002	0	11	0	-16.0	0	0.6	0	0.09999999999999987	0	-0.8239087409443188	0	-1.4954540997929953	0	2	0	-28.333333333333332	0	3	0	1.5	0	0	0	0.0	0
ACY1	PF07687	1	1.516e-09	0	0.0	0	0.9	0	0.0	0	1.2671	0	0.0	0	3	0	0.0	0	0.7	0	0.0	0	0.9243309847086784	0	0.0	0	13	0	0.0	0		1		1		1		1
ADA	PF00962	0	9.64e-15	0	-2.69499999518e-06	0	1.184	0	0.15250000000000008	0	0.4697	0	0.07247000000000003	0	2	0	-0.5	0	0.7	0	0.050000000000000044	0	2.086363390450994	0	0.8850916457787708	0	1	0	0.0	0		1		1		1		1
ADA2	PF00962	0	5.39e-06	0	2.69499999518e-06	0	0.879	0	-0.15249999999999986	0	0.32476	0	-0.07246999999999998	0	3	0	0.5	0	0.6	0	-0.04999999999999993	0	0.31618009889345255	0	-0.8850916457787709	0		1		1		1		1	0	0	0.0	0
ADAM22	PF08516	1	0.55288	0	0.0	0	0.518	0	0.0	0	2.2901	0	0.0	0	20	0	0.0	0	0.8	0	0.0	0	-0.6161846340195687	0	0.0	0	6	0	0.0	0		1		1		1		1
ADAM9		0	0.0018051	0		1	0.575	0		1	2.3253	0		1	20	0		1	0.2	0		1	0.20978301484851494	0		1	35	0		1		1		1	0	0		1
ADAMTS10	PF17771	0	0.99647	0	0.6643133333333333	0	0.467	0	-0.34600000000000003	0	3.8057	0	3.59231	0	25	0	0.0	0	0.2	0	-0.3	0	-1.193820026016113	0	-0.42394304412201034	0		1		1		1		1		1		1
ADAMTS13	PF17771	0	9.9963e-30	0	-0.33215666666666666	0	0.917	0	0.10399999999999998	0	0.92747	0	0.7140800000000002	0	25	0	0.0	0	0.6	0	0.09999999999999998	0	0.36567514045591765	0	1.1355521223500202	0	24	0	10.0	0		1		1		1		1
ADAMTS17	PF23178	1	2.2942e-31	0	0.0	0	0.966	0	0.0	0	-1.5379	0	0.0	0	25	0	0.0	0	0.6	0	0.0	0	-1.494850021680094	0	0.0	0	17	0	0.0	0		1		1	0	0	0.0	0
ADAMTS18	PF17771	0	1.0763e-48	0	-0.33215666666666666	0	1.055	0	0.24199999999999988	0	-4.093	0	-4.3063899999999995	0	25	0	0.0	0	0.7	0	0.19999999999999996	0	-1.4814860601221125	0	-0.7116090782280099	0	4	0	-10.0	0		1		1	0	0	0.0	0
ADAMTS19		0	5.2776e-18	0		1	0.83	0		1	-0.38527	0		1	25	0		1	0.6	0		1	-2.3010299956639813	0		1	1	0		1		1		1		1		1
ADAMTS2		0	0.0010101	0		1	0.568	0		1	1.4864	0		1	25	0		1	0.2	0		1	-0.4067139329795427	0		1	45	0		1		1		1	0	0		1
ADAMTSL2	PF19236	0	2.271e-08	0	1.1355e-08	0	0.679	0	-0.12050000000000005	0	1.0796	0	0.07192999999999983	0	25	0	0.0	0	0.6	0	0.19999999999999996	0	0.4347285417797577	0	-0.22019531184140528	0		1		1		1		1	0	0	0.0	0
ADAMTSL4	PF19236	0	1.1088e-25	0	-1.1355e-08	0	0.92	0	0.12049999999999994	0	0.93574	0	-0.07193000000000005	0	25	0	0.0	0	0.2	0	-0.2	0	0.8751191654625682	0	0.22019531184140517	0		1		1		1		1		1		1
ADAR	PF02137	1	0.99972	0	0.0	0	0.449	0	0.0	0	3.4201	0	0.0	0	14	0	0.0	0	0.2	0	0.0	0	1.4377664126947316	0	0.0	0	8	0	0.0	0		1		1		1		1
ADCY5	PF16214	1	1.0	0	0.0	0	0.326	0	0.0	0	4.4785	0	0.0	0	17	0	0.0	0	0.6	0	0.0	0	-1.2218487496163564	0	0.0	0		1		1		1		1		1		1
ADGRG1	PF00002	0	6.3056e-12	0	-4.8333748270799997e-05	0	0.871	0	0.08125000000000004	0	1.4013	0	-0.014936499999999908	0	42	0	8.75	0	0.6	0	-0.15000000000000002	0	0.2506639194632435	0	1.5973773209096391	0		1		1		1		1	0	0	0.0	0
ADGRG6		0	0.16537	0		1	0.63	0		1	0.89445	0		1	42	0		1	0.6	0		1	-0.012333735073725434	0		1		1		1		1		1		1		1
ADGRV1	PF00002	0	6.4034e-36	0	-4.8333754576399994e-05	0	0.637	0	-0.15274999999999994	0	2.3256	0	0.9093635000000002	0	7	0	-26.25	0	0.8	0	0.050000000000000044	0	-1.9208187539523751	0	-0.5741053525059796	0		1		1		1		1	0	0	0.0	0
ADK	PF00294	1	0.00021733	0	0.0	0	0.893	0	0.0	0	1.7207	0	0.0	0	12	0	0.0	0	0.6	0	0.0	0	1.6031552027714753	0	0.0	0	1	0	0.0	0		1		1		1		1
ADNP	PF19627	1	1.0	0	0.0	0	0.106	0	0.0	0	2.5832	0	0.0	0	1	0	0.0	0	0.2	0	0.0	0	0.7868223794991874	0	0.0	0	30	0	0.0	0	3	0	0.0	0	0	0	0.0	0
ADPRS	PF03747	1	3.3734e-08	0	0.0	0	1.155	0	0.0	0	-0.29451	0	0.0	0	0	0	0.0	0	0.2	0	0.0	0		1		1		1		1		1		1		1		1
ADSL	PF10397	1	2.8047e-10	0	0.0	0	0.915	0	0.0	0	1.7937	0	0.0	0	2	0	0.0	0	0.7	0	0.0	0	1.60531582254542	0	0.0	0	2	0	0.0	0		1		1	0	0	0.0	0
AFF4	PF05110	1	1.0	0	0.0	0	0.114	0	0.0	0	3.6501	0	0.0	0	3	0	0.0	0	0.2	0	0.0	0	0.08671566394488242	0	0.0	0	36	0	0.0	0		1		1		1		1
AFG2A	PF00004	0		1		1		1		1		1		1	5	0	-3.0	0		1		1		1		1		1		1		1		1		1		1
AFG3L2	PF00004	0	1.0227e-08	0	-0.1703239909693691	0	0.724	0	0.011800000000000033	0	3.0743	0	1.4359580000000003	0	2	0	-6.0	0	0.6	0	0.19999999999999996	0	1.3522018196594159	0	0.6684092897377953	0	20	0	4.5	0		1		1		1		1
AGA	PF01112	0	3.0493e-05	0	-0.4824397535	0	0.938	0	0.20999999999999996	0	0.11808	0	-0.8599600000000001	0	2	0	0.0	0	0.2	0	-0.2	0	1.0334639660774052	0	0.5726422360795401	0	9	0	0.0	0		1		1	0	0	0.0	0
AGBL5	PF18027	0	1.6548e-08	0	-0.003324241726	0	0.709	0	0.0764999999999999	0	1.9344	0	-0.31440000000000023	0	5	0	0.0	0	0.7	0	0.050000000000000044	0	-0.9030899869919435	0	-0.036675851193450404	0	15	0	2.5	0		1		1		1		1
AGK	PF19712	1	7.3523e-06	0	0.0	0	0.918	0	0.0	0	1.0683	0	0.0	0	4	0	0.0	0	0.2	0	0.0	0	1.2741809494196334	0	0.0	0	7	0	0.0	0		1		1	0	0	0.0	0
AGL	PF06202	1	1.033e-22	0	0.0	0	0.72	0	0.0	0	0.87709	0	0.0	0	0	0	0.0	0	0.7	0	0.0	0	1.1238842934600077	0	0.0	0	2	0	0.0	0		1		1		1		1
AGPAT2	PF01553	0	7.177e-06	0	-0.43931641149999995	0	1.199	0	0.3135000000000001	0	-0.8571	0	-1.1159	0	1	0	0.0	0	0.6	0	0.26666666666666666	0	-0.09258863922541381	0	-0.32868651186470027	0	2	0	-16.0	0		1		1	0	0	0.0	0
AGPS	PF02913	0	0.99977	0	0.49988476876500004	0	0.408	0	-0.2505	0	2.8043	0	1.13917	0	2	0	0.0	0	0.2	0	0.0	0	1.357953894586339	0	0.7340460866640752	0		1		1		1		1		1		1
AGRN	PF00008	0	1.5815e-20	0	-1.1003023544548325e-06	0	0.73	0	-0.18477777777777782	0	-2.5712	0	-2.832658888888889	0	27	0	14.0	0	0.2	0	-0.4666666666666665	0	0.6405808064896527	0	-0.10999670628960134	0	19	0	-3.0	0		1		1	0	0	0.0	0
AGT	PF00079	0	1.6897e-08	0	-1.1187272e-05	0	1.202	0	0.09966666666666657	0	0.41574	0	0.09444333333333332	0	37	0	0.6666666666666643	0	0.8	0	0.20000000000000007	0	2.9216869955964424	0	-0.11489031189840082	0	4	0	-6.333333333333334	0		1		1	0	0	0.0	0
AGTPBP1	PF18027	0	0.0066485	0	0.003324241726	0	0.556	0	-0.07650000000000001	0	2.5632	0	0.3144	0	5	0	0.0	0	0.6	0	-0.04999999999999993	0	-0.8297382846050426	0	0.036675851193450515	0	10	0	-2.5	0		1		1		1		1
AGTR1	PF00001	0	7.219e-05	0	-0.2775889498571533	0	1.113	0	0.22399999999999987	0	1.3757	0	-0.1829642857142857	0	7	0	-7.125	0	0.6	0	-0.125	0	-1.408935392973501	0	0.09279974192910334	0	7	0	-1.166666666666666	0		1		1		1		1
AGXT	PF00266	0	2.0059e-14	0	-5.853999999999998e-15	0	1.251	0	-0.027000000000000135	0	-0.48001	0	-0.729765	0	1	0	0.0	0	0.8	0	0.10000000000000009	0	1.120606831056773	0	-0.29475949987595307	0	1	0	0.0	0		1		1		1		1
AHCY	PF05221	1	0.00093098	0	0.0	0	0.727	0	0.0	0	2.5289	0	0.0	0	2	0	0.0	0	0.2	0	0.0	0	2.365489856845839	0	0.0	0	3	0	0.0	0		1		1	0	0	0.0	0
AHDC1		0	1.0	0		1	0.168	0		1	2.4789	0		1	0	0		1	0.2	0		1	-0.438898616350944	0		1	9	0		1	3	0		1	0	0		1
AHI1	PF00018	1	2.6598e-30	0	0.0	0	1.069	0	0.0	0	-0.22863	0	0.0	0	26	0	0.0	0	0.6	0	0.0	0	-1.3665315444204134	0	0.0	0	3	0	0.0	0		1		1	0	0	0.0	0
AICDA	PF08210	1	1.2839e-05	0	0.0	0	1.144	0	0.0	0	0.99122	0	0.0	0	9	0	0.0	0	0.8	0	0.0	0	-2.5228787452803374	0	0.0	0		1		1		1		1		1		1
AIMP1	PF01588	1	6.2809e-05	0	0.0	0	0.931	0	0.0	0	0.27475	0	0.0	0	0	0	0.0	0	0.2	0	0.0	0	1.883667112168564	0	0.0	0	15	0	0.0	0		1		1	0	0	0.0	0
AIP		0	0.28135	0		1	0.626	0		1	1.2835	0		1	1	0		1	0.2	0		1	1.5563145643353469	0		1	14	0		1		1		1		1		1
AIPL1	PF23322	1	7.0113e-07	0	0.0	0	1.01	0	0.0	0	0.42085	0	0.0	0	1	0	0.0	0	0.8	0	0.0	0	-0.8181564120552275	0	0.0	0	10	0	0.0	0		1		1		1		1
AIRE	PF03172	1	2.864e-16	0	0.0	0	1.169	0	0.0	0	-1.0396	0	0.0	0	5	0	0.0	0	0.7	0	0.0	0	-2.6989700043360187	0	0.0	0	11	0	0.0	0		1		1		1		1
AK1	PF00406	0	0.0078122	0	0.0034737099999999996	0	0.873	0	-0.04049999999999998	0	1.0139	0	0.12149500000000002	0	9	0	0.0	0	0.6	0	0.19999999999999996	0	1.9969536220330966	0	-0.26143784190428043	0	4	0	1.0	0		1		1		1		1
AK2	PF00406	0	0.00086478	0	-0.0034737100000000005	0	0.954	0	0.04049999999999998	0	0.77091	0	-0.12149500000000002	0	9	0	0.0	0	0.2	0	-0.2	0	2.519829305841658	0	0.2614378419042809	0	2	0	-1.0	0		1		1		1		1
AKR1C2	PF00248	0	8.8515e-07	0	4.388419e-07	0	1.035	0	-0.061000000000000165	0	0.93379	0	-0.029874999999999985	0	16	0	0.0	0	0.6	0	-0.09999999999999998	0	1.4871525216468562	0	0.7740663725990948	0	7	0	-0.5	0		1		1		1		1
AKR1D1	PF00248	0	7.4662e-09	0	-4.3884190000000004e-07	0	1.157	0	0.06099999999999994	0	0.99354	0	0.029874999999999985	0	16	0	0.0	0	0.8	0	0.10000000000000009	0	-0.060980223551333534	0	-0.7740663725990948	0	8	0	0.5	0		1		1		1		1
AKT1	PF00169	0	0.99545	0	0.4732995876249999	0	0.474	0	-0.13450000000000006	0	4.2239	0	1.2921400000000003	0	5	0	0.75	0	0.2	0	-0.10000000000000003	0	0.7987196851850064	0	0.5729571390309053	0	6	0	-15.666666666666668	0	0	0	0.0	0	0	0	0.0	0
AKT3	PF00169	0	0.99015	0	0.46799958762499994	0	0.482	0	-0.12650000000000006	0	4.235	0	1.3032400000000002	0	5	0	0.75	0	0.2	0	-0.10000000000000003	0	0.19893186993220904	0	-0.026830676221892058	0	15	0	-6.666666666666668	0		1		1	0	0	0.0	0
ALAD	PF00490	1	0.097632	0	0.0	0	0.63	0	0.0	0	2.4257	0	0.0	0	0	0	0.0	0	0.6	0	0.0	0	1.8733264156249705	0	0.0	0	7	0	0.0	0		1		1		1		1
ALDH18A1	PF00696	0	0.00013089	0	6.544497200549999e-05	0	0.617	0	-0.28049999999999997	0	3.0998	0	1.5444645000000001	0	0	0	0.0	0	0.6	0	-0.04999999999999993	0	1.8007239499761518	0	1.785137514298939	0	3	0	0.0	0		1		1		1		1
ALDH1A3	PF00171	0	0.0037408	0	0.0029925953635995747	0	0.667	0	-0.20819999999999983	0	2.2593	0	1.3739104000000002	0	17	0	0.0	0	0.6	0	0.0	0	0.6964437631389991	0	-0.6395089096549639	0	31	0	17.6	0		1		1	0	0	0.0	0
ALDH3A2	PF00171	0	8.6514e-09	0	-0.0007481959850004251	0	0.972	0	0.09680000000000011	0	0.98365	0	0.09826040000000014	0	17	0	0.0	0	0.6	0	0.0	0	1.5740428487594897	0	0.23809017596552673	0	24	0	10.6	0		1		1		1		1
ALDH4A1	PF00171	0	2.0602e-11	0	-0.0007482046157984251	0	0.902	0	0.026800000000000157	0	-0.044932	0	-0.9303215999999999	0	17	0	0.0	0	0.6	0	0.0	0	1.5172090981895432	0	0.18125642539558018	0	3	0	-10.4	0		1		1	0	0	0.0	0
ALDH5A1	PF00171	0	2.1451e-07	0	-0.0007479901264004251	0	0.852	0	-0.023199999999999887	0	0.28896	0	-0.5964295999999999	0	17	0	0.0	0	0.6	0	0.0	0	1.1271372071915011	0	-0.2088154656024619	0	4	0	-9.4	0		1		1	0	0	0.0	0
ALDH7A1	PF00171	0	1.2571e-16	0	-0.0007482046364002995	0	0.983	0	0.10780000000000012	0	0.93997	0	0.054580400000000084	0	17	0	0.0	0	0.6	0	0.0	0	1.7649304466902818	0	0.42897777389631875	0	5	0	-8.4	0		1		1		1		1
ALDOB	PF00274	1	2.3588e-11	0	0.0	0	1.183	0	0.0	0	-0.75151	0	0.0	0	2	0	0.0	0	0.7	0	0.0	0	2.0170375151871838	0	0.0	0	5	0	0.0	0		1		1		1		1
ALG1	PF00534	0	1.6267e-25	0	0.0	0	1.419	0	0.0	0	-2.6689	0	0.0	0	1	0	-1.0	0	0.2	0	0.0	0	0.34064237756070526	0	0.5615792166733995	0		1		1		1		1		1		1
ALG11	PF15924	1	1.5591e-06	0	0.0	0	0.908	0	0.0	0	1.1209	0	0.0	0	3	0	0.0	0	0.2	0	0.0	0	-0.1719849357760231	0	0.0	0	22	0	0.0	0		1		1		1		1
ALG12	PF03901	0	1.4977e-09	0	-0.00010997233533253333	0	0.965	0	-0.007000000000000117	0	0.93748	0	0.04077733333333333	0	2	0	0.0	0	0.2	0	-2.7755575615628914e-17	0	-0.8446639625349383	0	0.051738191159427016	0	16	0	-11.0	0		1		1	0	0	0.0	0
ALG2	PF13439	1	5.5991e-12	0	0.0	0	1.408	0	0.0	0	-0.93806	0	0.0	0	3	0	0.0	0	0.2	0	0.0	0	0.8293681079888203	0	0.0	0	5	0	0.0	0		1		1		1		1
ALG3	PF05208	1	1.7952e-10	0	0.0	0	0.972	0	0.0	0	0.75767	0	0.0	0	0	0	0.0	0	0.2	0	0.0	0	-0.24412514432750865	0	0.0	0	21	0	0.0	0		1		1		1		1
ALG6	PF03155	0	2.2406e-05	0	1.1202906309999998e-05	0	0.892	0	-0.008500000000000063	0	1.3207	0	0.44828	0	1	0	0.0	0	0.2	0	0.0	0	-0.32975414692587596	0	-0.048455006504028175	0	12	0	-3.5	0		1		1		1		1
ALG8	PF03155	0	1.8738e-10	0	-1.120290631e-05	0	0.909	0	0.008499999999999952	0	0.42414	0	-0.44827999999999996	0	1	0	0.0	0	0.2	0	0.0	0	-0.23284413391781958	0	0.0484550065040282	0	19	0	3.5	0		1		1		1		1
ALG9	PF03901	0	1.3976e-12	0	-0.00010997383163493333	0	0.853	0	-0.1190000000000001	0	1.7414	0	0.8446973333333334	0	2	0	0.0	0	0.2	0	-2.7755575615628914e-17	0	-0.22475374025976358	0	0.6716484134346017	0	50	0	23.0	0		1		1		1		1
ALK	PF12810	1	3.8217e-06	0	0.0	0	0.562	0	0.0	0	0.95723	0	0.0	0	53	0	0.0	0	0.6	0	0.0	0	-1.0506099933550872	0	0.0	0	9	0	0.0	0	0	0	0.0	0	0	0	0.0	0
