gene	uniprot_id	ec_numbers	keyword_ids	enzyme_4class	multi_class_flag	uniprot_missing_flag
ABCD1	P33897	3.1.2.-;7.6.2.-	KW-0002;KW-0067;KW-0225;KW-0256;KW-0325;KW-0378;KW-0458;KW-0472;KW-0496;KW-0547	non-enzyme	0	0
ABCD4	O14678	7.6.2.8;7;.;6;2;8	KW-0002;KW-0067;KW-0225;KW-0256;KW-0458;KW-0472;KW-0547;KW-1267;KW-1185;KW-1278	non-enzyme	0	0
ABCG5	Q9H222	7.6.2.-	KW-0002;KW-0025;KW-0067;KW-1003;KW-0225;KW-0325;KW-0445;KW-0460;KW-0472;KW-0479	non-enzyme	0	0
ABCG8	Q9H221	7.6.2.-	KW-0002;KW-0025;KW-1003;KW-0225;KW-0325;KW-0445;KW-0460;KW-0472;KW-0479;KW-1267	non-enzyme	0	0
ABHD12	Q8N2K0	3.1.-.-;3.1.1.23;3.1.-.-;3;.;1;2	KW-0025;KW-0898;KW-0209;KW-0225;KW-0256;KW-0325;KW-0378;KW-0443;KW-0472;KW-0622	non-enzyme	0	0
ABHD16A	O95870	3.1.-.-;3.1.1.23;3;.;1;2	KW-0025;KW-0903;KW-0225;KW-0890;KW-0378;KW-0443;KW-0472;KW-0523;KW-1267;KW-1185	non-enzyme	0	0
ABHD5	Q8WTS1	2.3.1.51;2;.;3;1;5	KW-0007;KW-0012;KW-0898;KW-0963;KW-0209;KW-0221;KW-0225;KW-0276;KW-0977;KW-0444	non-enzyme	0	0
ABL1	P00519	2.7.10.2;2;.;7;1;0	KW-0002;KW-0007;KW-0025;KW-0053;KW-0067;KW-0072;KW-0130;KW-0160;KW-0963;KW-0206	kinase	0	0
ACAD8	Q9UKU7	1.3.8.5;1;.;3;8;5	KW-0002;KW-0007;KW-0010;KW-0025;KW-0101;KW-0903;KW-0225;KW-0274;KW-0285;KW-0496	oxidoreductase	0	0
ACAD9	Q9H845	1.3.8.7;1.3.8.8;1;.;3;8;7	KW-0002;KW-0007;KW-0225;KW-0274;KW-0285;KW-0472;KW-0496;KW-0999;KW-0560;KW-0597	oxidoreductase	0	0
ACADM	P11310	1.3.8.7;1;.;3;8;7	KW-0002;KW-0007;KW-0025;KW-0903;KW-0225;KW-0274;KW-0276;KW-0285;KW-0443;KW-0496	oxidoreductase	0	0
ACADS	P16219	1.3.8.1;1;.;3;8	KW-0002;KW-0007;KW-0903;KW-0225;KW-0274;KW-0276;KW-0285;KW-0443;KW-0496;KW-0560	oxidoreductase	0	0
ACADSB	P45954	1.3.8.1;1.3.8.5;1;.;3;8;5	KW-0002;KW-0007;KW-0025;KW-0225;KW-0274;KW-0276;KW-0285;KW-0443;KW-0496;KW-0560	oxidoreductase	0	0
ACADVL	P49748	1.3.8.9;1.3.8.8;1;.;3;8;9	KW-0002;KW-0007;KW-0025;KW-0122;KW-0903;KW-0225;KW-0274;KW-0276;KW-0285;KW-0443	oxidoreductase	0	0
ACAN	P16112		KW-0002;KW-0025;KW-0106;KW-0903;KW-0225;KW-1015;KW-0242;KW-0245;KW-0272;KW-0325	non-enzyme	0	0
ACAT1	P24752	2.3.1.9;2;.;3;1;9	KW-0002;KW-0007;KW-0012;KW-0025;KW-0903;KW-0225;KW-0276;KW-0443;KW-0479;KW-0496	non-enzyme	0	0
ACBD5				non-enzyme	0	1
ACBD6				non-enzyme	0	1
ACE	P12821	3.4.15.1;3;.;4;1;5	KW-0002;KW-0877;KW-0025;KW-0112;KW-0121;KW-1003;KW-0963;KW-0903;KW-1015;KW-0325	protease	0	0
ACER3	Q9NUN7	3.5.1.-;3.5.1.23;3;.;5;1;2	KW-0002;KW-0025;KW-0106;KW-0225;KW-0256;KW-0333;KW-0378;KW-1026;KW-0443;KW-0472	non-enzyme	0	0
ACO2	Q99798	4.2.1.3;4;.;2;1;3	KW-0004;KW-0007;KW-0903;KW-0225;KW-0408;KW-0411;KW-0456;KW-0479;KW-0496;KW-0523	non-enzyme	0	0
ACOX1	Q15067	1.3.3.6;1;.;3;6	KW-0007;KW-0025;KW-0209;KW-0225;KW-0274;KW-0276;KW-0285;KW-0443;KW-0622;KW-0560	oxidoreductase	0	0
ACP5	P13686	3.1.3.2;3;.;1;2	KW-0002;KW-0903;KW-0225;KW-1015;KW-0325;KW-0378;KW-0408;KW-0458;KW-0479;KW-1267	non-enzyme	0	0
ACSL4				non-enzyme	0	1
ACTB	P60709	3.6.4.-	KW-0002;KW-0007;KW-0067;KW-0963;KW-0206;KW-0209;KW-0903;KW-0225;KW-1023;KW-0378	non-enzyme	0	0
ACTG1	P63261	3.6.4.-	KW-0002;KW-0007;KW-0067;KW-0963;KW-0206;KW-0209;KW-0903;KW-0225;KW-0378;KW-0991	non-enzyme	0	0
ACTL6B	O94805		KW-0156;KW-0903;KW-0225;KW-0887;KW-0991;KW-0524;KW-0539;KW-1267;KW-1185;KW-0804	non-enzyme	0	0
ACVR1	Q04771	2.7.11.30;2;.;7;1;3;0	KW-0002;KW-0067;KW-0225;KW-0325;KW-0418;KW-0460;KW-0464;KW-0472;KW-0479;KW-0547	kinase	0	0
ACVRL1	P37023	2.7.11.30;2;.;7;1;3;0	KW-0002;KW-0037;KW-0067;KW-1003;KW-0225;KW-1015;KW-0325;KW-0418;KW-0460;KW-0464	kinase	0	0
ACY1	Q03154	3.5.1.14;3;.;5;1;4	KW-0002;KW-0025;KW-0963;KW-0225;KW-0378;KW-0479;KW-1267;KW-1185;KW-0862	non-enzyme	0	0
ADA	P00813	3.5.4.4;3;.;5;4	KW-0002;KW-0007;KW-0130;KW-0965;KW-1003;KW-0963;KW-0968;KW-0903;KW-0225;KW-0360	non-enzyme	0	0
ADA2	Q9NZK5	3.5.4.4;3;.;5;4	KW-0002;KW-0025;KW-0225;KW-1015;KW-0325;KW-0358;KW-0378;KW-0479;KW-1267;KW-1185	non-enzyme	0	0
ADAM22	Q9P0K1		KW-0002;KW-0025;KW-0130;KW-1003;KW-0966;KW-0165;KW-0225;KW-1015;KW-0245;KW-0887	non-enzyme	0	0
ADAM9				non-enzyme	0	1
ADAMTS10	Q9H324	3.4.24.-	KW-0025;KW-0165;KW-0225;KW-1015;KW-0242;KW-0272;KW-0325;KW-0378;KW-0479;KW-0482	protease	0	0
ADAMTS13	Q76LX8	3.4.24.87;3;.;4;2;8;7	KW-0002;KW-0025;KW-0094;KW-0106;KW-0165;KW-0903;KW-0225;KW-1015;KW-0325;KW-0356	protease	0	0
ADAMTS17	Q8TE56	3.4.24.-	KW-0025;KW-0165;KW-0209;KW-1015;KW-0242;KW-0272;KW-0325;KW-0378;KW-0479;KW-0482	protease	0	0
ADAMTS18	Q8TE60	3.4.24.-	KW-0025;KW-0165;KW-0225;KW-1015;KW-0272;KW-0325;KW-0378;KW-0479;KW-0482;KW-0645	protease	0	0
ADAMTS19				non-enzyme	0	1
ADAMTS2				non-enzyme	0	1
ADAMTSL2	Q86TH1		KW-0225;KW-1015;KW-0242;KW-0325;KW-1267;KW-1185;KW-0677;KW-0964;KW-0732	non-enzyme	0	0
ADAMTSL4	Q6UY14		KW-0025;KW-0053;KW-0272;KW-0325;KW-1267;KW-1185;KW-0677;KW-0964;KW-0732	non-enzyme	0	0
ADAR	P55265	3.5.4.37;3;.;5;4;7	KW-0002;KW-0948;KW-0877;KW-0025;KW-0051;KW-0963;KW-0903;KW-0225;KW-0238;KW-0378	non-enzyme	0	0
ADCY5	O95622	4.6.1.1;4;.;6;1	KW-0002;KW-0025;KW-0067;KW-0115;KW-1003;KW-0966;KW-0969;KW-0225;KW-0325;KW-0991	non-enzyme	0	0
ADGRG1	Q9Y653		KW-0002;KW-0025;KW-0130;KW-1003;KW-0217;KW-0221;KW-0903;KW-0225;KW-1015;KW-0297	non-enzyme	0	0
ADGRG6				non-enzyme	0	1
ADGRV1	Q8WXG9	3.4.-.-	KW-0025;KW-0106;KW-1003;KW-0966;KW-0209;KW-1015;KW-0297;KW-0378;KW-0472;KW-1267	protease	0	0
ADK	P55263	2.7.1.20;2.7.1.-;2.7.1.-;2.7.1.-;2;.;7;1;0	KW-0002;KW-0007;KW-0025;KW-0067;KW-0963;KW-0903;KW-0225;KW-0418;KW-0460;KW-0479	kinase	0	0
ADNP	Q9H2P0		KW-0007;KW-1268;KW-0158;KW-0238;KW-0371;KW-0991;KW-1017;KW-0479;KW-0488;KW-0539	non-enzyme	0	0
ADPRS	Q9NX46	3.5.1.-;3.2.1.143;3.2.2.-;3;.;2;1;4	KW-0002;KW-0158;KW-0963;KW-0225;KW-0227;KW-0234;KW-0378;KW-0460;KW-0479;KW-0496	non-enzyme	0	0
ADSL	P30566	4.3.2.2;4;.;3;2	KW-0002;KW-0007;KW-0025;KW-0903;KW-0225;KW-0887;KW-1017;KW-0456;KW-1267;KW-0658	non-enzyme	0	0
AFF4	Q9UHB7		KW-0002;KW-0007;KW-0025;KW-0160;KW-0158;KW-0903;KW-0225;KW-0242;KW-1017;KW-0539	non-enzyme	0	0
AFG2A	Q8NB90	3.6.4.10;3;.;6;4;1;0	KW-0002;KW-0025;KW-0067;KW-0143;KW-0963;KW-0206;KW-0209;KW-0217;KW-0221;KW-0225	non-enzyme	0	0
AFG3L2	Q9Y4W6	3.4.24.-;3.6.-.-	KW-0002;KW-0067;KW-0225;KW-0378;KW-0472;KW-0479;KW-0482;KW-0496;KW-0999;KW-0523	protease	0	0
AGA	P20933	3.5.1.26;3;.;5;1;2;6	KW-0002;KW-0068;KW-0903;KW-0225;KW-1015;KW-0325;KW-0378;KW-0458;KW-0645;KW-1267	non-enzyme	0	0
AGBL5	Q8NDL9	3.4.17.-;3.4.17.24;3;.;4;1;7;2	KW-0002;KW-0025;KW-0121;KW-0963;KW-0206;KW-0225;KW-0378;KW-0479;KW-0482;KW-0539	protease	0	0
AGK	Q53H12	2.7.1.107;2.7.1.138;2.7.1.94;2;.;7;1;9;4;0;3;8	KW-0002;KW-0007;KW-0025;KW-0067;KW-0122;KW-0898;KW-0225;KW-0418;KW-0443;KW-0472	kinase	0	0
AGL	P35573	2;.;4;1;5;3	KW-0002;KW-0025;KW-0963;KW-0903;KW-0225;KW-0320;KW-0322;KW-0326;KW-0328;KW-0378	non-enzyme	0	0
AGPAT2	O15120	2.3.1.51;2;.;3;1;5	KW-0012;KW-0025;KW-1022;KW-0219;KW-0225;KW-0256;KW-0444;KW-0443;KW-0472;KW-0594	non-enzyme	0	0
AGPS	O00116	2.5.1.26;2;.;5;1;6	KW-0007;KW-0898;KW-0225;KW-0242;KW-0274;KW-0285;KW-0444;KW-0443;KW-0472;KW-0576	non-enzyme	0	0
AGRN	O00468		KW-0002;KW-0025;KW-0106;KW-1003;KW-1004;KW-0217;KW-0221;KW-0225;KW-1015;KW-0245	non-enzyme	0	0
AGT	P01019		KW-0002;KW-0903;KW-0225;KW-1015;KW-0325;KW-1267;KW-1185;KW-0964;KW-0732;KW-0838	non-enzyme	0	0
AGTPBP1	Q9UPW5	3.4.17.-;3.4.17.24;3;.;4;1;7;2	KW-0025;KW-0121;KW-0963;KW-0225;KW-0378;KW-0479;KW-0482;KW-0496;KW-0523;KW-0539	protease	0	0
AGTR1	P30556		KW-0002;KW-1003;KW-0225;KW-1015;KW-0297;KW-0325;KW-0945;KW-0449;KW-0472;KW-0564	non-enzyme	0	0
AGXT	P21549	2.6.1.44;2.6.1.51;2;.;6;1;5;4	KW-0002;KW-0007;KW-0032;KW-0225;KW-0576;KW-0597;KW-1267;KW-0663;KW-1185;KW-0808	non-enzyme	0	0
AHCY	P23526	3.13.2.1;3;.;1;2	KW-0002;KW-0007;KW-0025;KW-0186;KW-0963;KW-0903;KW-0225;KW-0256;KW-0378;KW-0379	non-enzyme	0	0
AHDC1				non-enzyme	0	1
AHI1	Q8N157		KW-0002;KW-0025;KW-0965;KW-0966;KW-1186;KW-0969;KW-0970;KW-0175;KW-0963;KW-0206	non-enzyme	0	0
AICDA	Q9GZX7	3.5.4.38;3;.;5;4;8	KW-0002;KW-0025;KW-0963;KW-0225;KW-0378;KW-0479;KW-0507;KW-0539;KW-0597;KW-1267	non-enzyme	0	0
AIMP1	Q12904		KW-0002;KW-0007;KW-0025;KW-0037;KW-0053;KW-0202;KW-0963;KW-0903;KW-0256;KW-0333	non-enzyme	0	0
AIP				non-enzyme	0	1
AIPL1	Q9NZN9		KW-0002;KW-0025;KW-0963;KW-0225;KW-0901;KW-0539;KW-1267;KW-1185;KW-0677;KW-0716	non-enzyme	0	0
AIRE	O43918		KW-0002;KW-0010;KW-0025;KW-0963;KW-0903;KW-0225;KW-0238;KW-0479;KW-0539;KW-0597	non-enzyme	0	0
AK1	P00568	2.7.4.3;2.7.4.4;2.7.4.6;2;.;7;4;3;6	KW-0002;KW-0007;KW-0067;KW-0963;KW-0903;KW-0225;KW-0360;KW-0418;KW-0547;KW-0597	kinase	0	0
AK2	P54819	2.7.4.3;2;.;7;4;3	KW-0002;KW-0007;KW-0025;KW-0067;KW-0903;KW-0225;KW-1015;KW-0418;KW-0496;KW-0547	kinase	0	0
AKR1C2	P52895	1.1.1.112;1.1.1.209;1.1.1.51;1.1.1.62;1.3.1.20;1.1.1.357;1;.;3;5;7;2;0;9;6	KW-0002;KW-0025;KW-0963;KW-0903;KW-0225;KW-0443;KW-0521;KW-0560;KW-1267;KW-1185	oxidoreductase	0	0
AKR1D1	P51857	1.3.1.3;1;.;3	KW-0002;KW-0025;KW-0088;KW-0963;KW-0225;KW-0988;KW-0442;KW-0443;KW-0521;KW-0560	oxidoreductase	0	0
AKT1	P31749	2.7.11.1;2;.;7;1	KW-0002;KW-0007;KW-0025;KW-0053;KW-0067;KW-0119;KW-1003;KW-0963;KW-0217;KW-0225	kinase	0	0
AKT3	Q9Y243	2.7.11.1;2;.;7;1	KW-0002;KW-0007;KW-0025;KW-0067;KW-0963;KW-0225;KW-1015;KW-0325;KW-0418;KW-0472	kinase	0	0
ALAD	P13716	4.2.1.24;4;.;2;1	KW-0002;KW-0021;KW-0025;KW-0963;KW-0903;KW-0225;KW-0350;KW-0456;KW-0479;KW-0597	non-enzyme	0	0
ALDH18A1	P54886	2;.;7;1;4	KW-0002;KW-0025;KW-0028;KW-0067;KW-0225;KW-0890;KW-0991;KW-0418;KW-0496;KW-0511	kinase	0	0
ALDH1A3	P47895	1.2.1.36;1;.;2;3;6	KW-0002;KW-0007;KW-0963;KW-0903;KW-0225;KW-0443;KW-1013;KW-0520;KW-0560;KW-1267	oxidoreductase	0	0
ALDH3A2	P51648	1.2.1.3;1.2.1.94;1;.;2;3;9;4	KW-0002;KW-0025;KW-0903;KW-0225;KW-0256;KW-0276;KW-0977;KW-0991;KW-0443;KW-0472	oxidoreductase	0	0
ALDH4A1	P30038	1.2.1.88;1;.;2;8	KW-0002;KW-0007;KW-0025;KW-0903;KW-0225;KW-0496;KW-0520;KW-0560;KW-0597;KW-0642	oxidoreductase	0	0
ALDH5A1	P51649	1.2.1.24;1;.;2;4	KW-0002;KW-0007;KW-0025;KW-0225;KW-1015;KW-0496;KW-0520;KW-0560;KW-0597;KW-1267	oxidoreductase	0	0
ALDH7A1	P49419	1.2.1.31;1.2.1.3;1.2.1.8;1;.;2;3;8	KW-0002;KW-0007;KW-0025;KW-1003;KW-0963;KW-0225;KW-0887;KW-0333;KW-0472;KW-0496	oxidoreductase	0	0
ALDOB	P05062	4.1.2.13;4;.;1;2;3	KW-0002;KW-0007;KW-0963;KW-0206;KW-0903;KW-0225;KW-0324;KW-0456;KW-0597;KW-1267	non-enzyme	0	0
ALG1	Q9BT22	2.4.1.142;2;.;4;1	KW-0025;KW-0900;KW-0225;KW-0256;KW-0328;KW-0472;KW-0597;KW-1267;KW-1185;KW-0735	non-enzyme	0	0
ALG11	Q2TAA5	2.4.1.131;2;.;4;1;3	KW-0900;KW-0225;KW-0256;KW-0328;KW-0472;KW-1267;KW-1185;KW-0808;KW-0812;KW-1133	non-enzyme	0	0
ALG12	Q9BV10	2.4.1.260;2;.;4;1;6;0	KW-0900;KW-0225;KW-0256;KW-0328;KW-0472;KW-1267;KW-1185;KW-0808;KW-0812;KW-1133	non-enzyme	0	0
ALG2	Q9H553	2.4.1.132;2.4.1.257;2;.;4;1;3;5;7	KW-0025;KW-0900;KW-1004;KW-0225;KW-0256;KW-0328;KW-0472;KW-1267;KW-1185;KW-0808	non-enzyme	0	0
ALG3	Q92685	2.4.1.258;2;.;4;1;5;8	KW-0025;KW-0900;KW-0225;KW-0256;KW-0328;KW-0472;KW-0597;KW-1267;KW-1185;KW-0808	non-enzyme	0	0
ALG6	Q9Y672	2.4.1.267;2;.;4;1;6;7	KW-0900;KW-0225;KW-0256;KW-0325;KW-0328;KW-0472;KW-1267;KW-1185;KW-0808;KW-0812	non-enzyme	0	0
ALG8	Q9BVK2	2.4.1.265;2;.;4;1;6;5	KW-0025;KW-0900;KW-0225;KW-0256;KW-0328;KW-0472;KW-1267;KW-1185;KW-0808;KW-0812	non-enzyme	0	0
ALG9	Q9H6U8	2.4.1.259;2.4.1.261;2;.;4;1;5;9;6	KW-0025;KW-0160;KW-0900;KW-0225;KW-0256;KW-0325;KW-0328;KW-0472;KW-1267;KW-1185	non-enzyme	0	0
ALK	Q9UM73	2.7.10.1;2;.;7;1;0	KW-0002;KW-0067;KW-1003;KW-0160;KW-0225;KW-1015;KW-0325;KW-0418;KW-0472;KW-0547	kinase	0	0
ALMS1	Q8TCU4		KW-0025;KW-0966;KW-1186;KW-0969;KW-0182;KW-0963;KW-0206;KW-0209;KW-0219;KW-0550	non-enzyme	0	0
ALOX12B	O75342	1.13.11.-	KW-0963;KW-0223;KW-0225;KW-0276;KW-0977;KW-0408;KW-0413;KW-0443;KW-0456;KW-0479	oxidoreductase	0	0
ALOXE3	Q9BYJ1	4.2.1.152;5.4.4.7;5;.;4;7;2;1	KW-0002;KW-0025;KW-0963;KW-0223;KW-0225;KW-0276;KW-0977;KW-0408;KW-0413;KW-0443	non-enzyme	0	0
ALPK3				non-enzyme	0	1
ALPL	P05186	3.1.3.1;3.9.1.1;3;.;1;9	KW-0002;KW-0025;KW-0091;KW-0106;KW-1003;KW-0903;KW-0225;KW-1015;KW-0325;KW-0336	non-enzyme	0	0
ALS2	Q96Q42		KW-0007;KW-0025;KW-0036;KW-0344;KW-0523;KW-0597;KW-1267;KW-1185;KW-0677	non-enzyme	0	0
ALX1				non-enzyme	0	1
ALX3	O95076		KW-0217;KW-0225;KW-0238;KW-0371;KW-0539;KW-1267;KW-1185;KW-0804;KW-0805	non-enzyme	0	0
ALX4	Q9H161		KW-0002;KW-0010;KW-0989;KW-0217;KW-0225;KW-0238;KW-0371;KW-0539;KW-0597;KW-1267	non-enzyme	0	0
AMACR	Q9UHK6	5.1.99.4;5;.;1;9;4	KW-0007;KW-0025;KW-0225;KW-0988;KW-0413;KW-0496;KW-0576;KW-1267;KW-1185	non-enzyme	0	0
AMER1				non-enzyme	0	1
AMN	Q9BXJ7		KW-0002;KW-0877;KW-1003;KW-0168;KW-0217;KW-0903;KW-0225;KW-1015;KW-0967;KW-0325	non-enzyme	0	0
AMPD2	Q01433	3.5.4.6;3;.;5;4;6	KW-0002;KW-0025;KW-0225;KW-0890;KW-0378;KW-0479;KW-0488;KW-0523;KW-0546;KW-0597	non-enzyme	0	0
AMT	P48728	2.1.2.10;2;.;1;0	KW-0002;KW-0025;KW-0032;KW-0225;KW-0496;KW-1267;KW-1185;KW-0808;KW-0809	non-enzyme	0	0
ANAPC1				non-enzyme	0	1
ANGPTL3	Q9Y5C1		KW-0002;KW-0037;KW-0130;KW-0966;KW-0175;KW-0903;KW-1015;KW-0325;KW-0358;KW-0443	non-enzyme	0	0
ANK2	Q01484		KW-0002;KW-0025;KW-0040;KW-1003;KW-0963;KW-0206;KW-0225;KW-0254;KW-0967;KW-0454	non-enzyme	0	0
ANKH	Q9HCJ1		KW-0025;KW-1003;KW-0209;KW-0225;KW-0472;KW-1267;KW-1185;KW-0812;KW-1133;KW-0813	non-enzyme	0	0
ANKRD17				non-enzyme	0	1
ANO10	Q9NW15		KW-0002;KW-0025;KW-1003;KW-0225;KW-0472;KW-0523;KW-1267;KW-1185;KW-0812;KW-1133	non-enzyme	0	0
ANTXR1				non-enzyme	0	1
ANTXR2	P58335		KW-0002;KW-0025;KW-1003;KW-0225;KW-1015;KW-0256;KW-0325;KW-0472;KW-0479;KW-0597	non-enzyme	0	0
AP1B1	Q10567		KW-0002;KW-0007;KW-0025;KW-0968;KW-0209;KW-0225;KW-0333;KW-0977;KW-0472;KW-0944	non-enzyme	0	0
AP1G1	O43747		KW-0002;KW-0025;KW-0168;KW-0963;KW-0968;KW-0225;KW-0333;KW-0991;KW-0472;KW-0653	non-enzyme	0	0
AP1S2				non-enzyme	0	1
AP3B1	O00203		KW-0002;KW-0015;KW-0025;KW-0968;KW-0225;KW-0333;KW-0363;KW-0472;KW-0597;KW-0653	non-enzyme	0	0
AP3B2				non-enzyme	0	1
AP4B1				non-enzyme	0	1
AP4E1				non-enzyme	0	1
AP4M1	O00189		KW-0002;KW-0967;KW-0333;KW-0890;KW-0472;KW-0523;KW-0653;KW-1267;KW-1185;KW-0813	non-enzyme	0	0
AP4S1				non-enzyme	0	1
APC	P25054		KW-0002;KW-0007;KW-0877;KW-0025;KW-0965;KW-1003;KW-0966;KW-0175;KW-0963;KW-0206	non-enzyme	0	0
APC2	O95996		KW-0025;KW-0175;KW-0963;KW-0206;KW-0225;KW-0333;KW-0991;KW-0451;KW-0493;KW-0597	non-enzyme	0	0
APOA1	P02647		KW-0002;KW-0034;KW-1008;KW-0065;KW-0153;KW-0903;KW-0225;KW-0971;KW-0325;KW-0345	non-enzyme	0	0
APOB	P04114		KW-0002;KW-0007;KW-0065;KW-0153;KW-0162;KW-0963;KW-0903;KW-0225;KW-1015;KW-0325	non-enzyme	0	0
APOC2	P02655		KW-0002;KW-0162;KW-0903;KW-0225;KW-0325;KW-0345;KW-0380;KW-0427;KW-0442;KW-0443	non-enzyme	0	0
APRT	P07741	2.4.2.7;2;.;4;7	KW-0002;KW-0007;KW-0025;KW-0963;KW-0903;KW-0225;KW-0328;KW-0597;KW-1267;KW-0660	non-enzyme	0	0
APTX				non-enzyme	0	1
AR	P10275		KW-0002;KW-0010;KW-0025;KW-0963;KW-0225;KW-0238;KW-1017;KW-0446;KW-0449;KW-0479	non-enzyme	0	0
ARCN1				non-enzyme	0	1
ARFGEF1	Q9Y6D6		KW-0002;KW-1268;KW-0963;KW-0903;KW-0225;KW-0887;KW-0333;KW-0344;KW-0991;KW-0472	non-enzyme	0	0
ARFGEF2				non-enzyme	0	1
ARG1	P05089	3.5.3.1;3;.;5;1	KW-0002;KW-1064;KW-0025;KW-0056;KW-0963;KW-0225;KW-0378;KW-0391;KW-0399;KW-0464	non-enzyme	0	0
ARHGAP31				non-enzyme	0	1
ARHGAP35				non-enzyme	0	1
ARHGDIA	P52565		KW-0002;KW-0007;KW-0025;KW-0963;KW-0903;KW-0225;KW-0343;KW-1017;KW-0597;KW-1267	non-enzyme	0	0
ARHGEF9				non-enzyme	0	1
ARID1A	O14497		KW-0002;KW-0007;KW-0025;KW-0156;KW-0903;KW-0238;KW-0991;KW-0488;KW-0524;KW-0539	non-enzyme	0	0
ARID1B	Q8NFD5		KW-0002;KW-0007;KW-0024;KW-0025;KW-0156;KW-0238;KW-0991;KW-0488;KW-0524;KW-0539	non-enzyme	0	0
ARID2				non-enzyme	0	1
ARL2BP				non-enzyme	0	1
ARL6	Q9H0F7		KW-0002;KW-0025;KW-0083;KW-1003;KW-0966;KW-1186;KW-0970;KW-0963;KW-0206;KW-0225	non-enzyme	0	0
ARMC9				non-enzyme	0	1
ARPC1B	O15143		KW-0002;KW-0009;KW-0963;KW-0206;KW-0903;KW-0225;KW-0539;KW-1267;KW-1185;KW-0677	non-enzyme	0	0
ARSA	P15289	3.1.6.8;3;.;1;6;8	KW-0002;KW-0025;KW-0106;KW-0903;KW-0225;KW-1015;KW-0256;KW-0325;KW-0378;KW-0977	non-enzyme	0	0
ARSB	P15848	3.1.6.12;3;.;1;6;2	KW-0002;KW-0025;KW-0106;KW-0903;KW-0225;KW-1015;KW-0325;KW-0378;KW-0977;KW-1026	non-enzyme	0	0
ARSL	P51690	3.1.6.1;3;.;1;6	KW-0106;KW-0225;KW-0325;KW-0333;KW-0378;KW-0479;KW-1267;KW-1185;KW-0732	non-enzyme	0	0
ARX	Q96QS3		KW-0217;KW-0221;KW-0225;KW-0238;KW-0887;KW-0371;KW-0991;KW-0451;KW-0524;KW-0539	non-enzyme	0	0
ASAH1	Q13510	3.5.1.23;3.5.1.109;3.5.1.-;3;.;5;1;2;0;9	KW-0002;KW-0025;KW-0963;KW-0903;KW-0225;KW-1015;KW-0887;KW-0325;KW-0378;KW-0443	non-enzyme	0	0
ASL	P04424	4.3.2.1;4;.;3;2;1	KW-0002;KW-0007;KW-0025;KW-0028;KW-0055;KW-0225;KW-0456;KW-1267;KW-1185;KW-0835	non-enzyme	0	0
ASNS	P08243	6.3.5.4;6;.;3;5;4	KW-0002;KW-0007;KW-0025;KW-0028;KW-0061;KW-0067;KW-0225;KW-0315;KW-0991;KW-0436	non-enzyme	0	0
ASPA	P45381	3.5.1.15;3;.;5;1	KW-0002;KW-0963;KW-0225;KW-0378;KW-1026;KW-0479;KW-0539;KW-1267;KW-1185;KW-0862	non-enzyme	0	0
ASPH	Q12797	1.14.11.16;1;.;4;6	KW-0002;KW-0025;KW-0106;KW-0223;KW-0225;KW-1015;KW-0256;KW-0325;KW-0408;KW-0472	oxidoreductase	0	0
