gene	label	family	pLI	LOEUF	mis_z	paralog_count
ALMS1	LOF	PF15309	2.1295e-65	0.825	-1.692	3
ALOX12B	LOF	PF00305	3.6631e-10	0.783	1.7673	5
ALPL	LOF	PF00245	1.7059e-11	0.987	1.9112	3
ALS2	LOF	PF25582	2.816e-17	0.649	2.9747	9
ALX4	LOF	PF00046	3.2775e-05	0.902	-0.26237	50
AMACR	LOF	PF02515	1.0248e-05	1.239	-0.14623	1
AMPD2	LOF	PF19326	1.3901e-08	0.705	3.6393	2
ANK2	LOF	PF00023	1.0	0.271	4.2752	3
ANKH	LOF	PF07260	0.99706	0.463	3.5436	0
AP1G1	LOF	PF01602	1.0	0.113	3.005	4
AP3B1	LOF	PF01602	0.0032623	0.59	2.0333	4
APC	LOF	PF05972	1.0	0.321	0.7981	1
APC2	LOF	PF05956	3.6028e-11	0.961	-7.0603	57
APOA1	LOF	PF01442	5.3313e-07	1.168	0.30209	3
APOB	DN	PF12491	1.3512e-11	0.537	0.96416	0
APOC2	LOF	PF05355	0.074299	1.054	0.44841	0
AR	DN	PF02166				31
ARFGEF1	LOF	PF20252	1.0	0.236	6.96	15
ARID1A	LOF	PF01388	1.0	0.141	2.4598	1
ARID1B	LOF	PF01388	1.0	0.205	0.81072	1
ARSL	LOF	PF00884				16
ARX	LOF	PF00046				50
ASXL1	LOF	PF13919	1.5801e-16	0.918	1.9316	2
ATAD3A	DN	PF00004	5.6203e-10	0.861	0.72563	2
ATF6	LOF	PF00170	1.6011e-07	0.882	0.76705	9
ATG7	LOF	PF16420	1.5974e-17	0.985	1.2812	9
ATL1	DN	PF02263	0.35895	0.57	3.8464	10
ATL3	DN	PF02263	1.991e-09	0.891	0.69424	10
ATOH7	LOF	PF00010	0.00014175	1.758	-1.2184	15
ATP1A2	GOF	PF13246	1.6587e-05	0.598	6.836	21
ATP1A3	GOF	PF13246	1.0	0.173	9.1351	21
ATP2A2	GOF	PF13246	1.0	0.205	7.0341	21
ATP2C1	LOF	PF13246	0.99999	0.402	3.7791	21
ATP6V0C	LOF	PF00137	0.74407	0.739	2.9069	1
ATP6V1B2	DN	PF00006	0.99842	0.457	2.5286	4
ATP7A	LOF	PF00122				21
ATP8B1	LOF	PF13246	1.6702e-09	0.62	3.336	13
ATR	LOF	PF02259	1.1669e-07	0.518	7.1459	43
ATRX	LOF	PF17981				30
AUTS2	LOF	PF15336	1.0	0.232	1.8752	2
B3GALT6	LOF	PF01762	1.0328e-14	1.987	-4.8174	15
B3GLCT	LOF	PF02434	3.9184e-09	1.109	-0.095709	3
B4GALT1	LOF	PF02709	0.019457	0.739	0.89855	6
BAG3	LOF	PF02179	0.92034	0.538	-0.061263	2
BAP1	LOF	PF01088	1.0	0.324	3.277	16
BBS1	LOF	PF14779	5.6877e-17	1.003	0.93053	0
BBS10	LOF	PF00118	1.219e-05	1.418	0.44532	0
BBS12	LOF	PF00118	0.0035062	1.419	1.5921	13
BCL11A	LOF	PF25491	1.0	0.125	3.6173	14
BCL11B	DN	PF25491	0.99537	0.462	1.293	14
BCOR	LOF	PF12796				1
BEST1	LOF	PF01062	3.209e-19	1.28	0.89191	3
BFSP1	LOF	PF00038	7.9397e-15	1.371	-0.76131	0
BGN	LOF	PF13855				22
BHLHA9	DN	PF00010	0.12142	1.931	-2.8112	13
BICRA	LOF	PF15249	0.027767	0.659	-3.9229	1
BMP2	LOF	PF00019	0.99999	0.213	1.468	31
BMP4	LOF	PF00019	0.99998	0.258	1.7532	31
BMPER	LOF	PF08742	8.1808e-06	0.652	1.5503	19
BMPR1A	LOF	PF01064	1.0	0.195	3.9074	11
BMPR1B	LOF	PF01064	1.0	0.331	1.2676	11
BMPR2	DN	PF01064	1.0	0.376	3.2823	11
BNC2	LOF	PF00096	1.0	0.365	0.84672	1
BPNT2	LOF	PF00459	0.78838	0.619	-0.43186	4
BRAF	GOF	PF00130	1.0	0.237	4.9103	23
BRAT1	LOF	PF02985	3.0623e-29	1.39	-1.9733	0
BRCA2	LOF	PF09169	6.5274e-44	0.803	1.0218	0
BRF1	LOF	PF07741	3.1018e-15	0.921	-1.5663	4
BRPF1	LOF	PF00439	1.0	0.205	5.001	8
BRWD3	LOF	PF00439				2
BSND	LOF	PF15462	0.00065519	1.03	1.0448	0
BTD	LOF	PF00795	5.4385e-05	1.22	0.16275	2
C19ORF12	LOF	PF20721				0
C1R	GOF	PF00431	0.8552	0.635	2.4049	16
C1S	GOF	PF00431	0.00018058	0.783	2.0076	16
C2CD3	LOF	PF00168	1.8824e-14	0.637	2.6212	0
CA5A	LOF	PF00194	1.8303e-07	1.257	-1.3698	14
CABP2	LOF	PF13499	1.0077e-08	1.299	-0.18317	20
CABP4	LOF	PF00036	8.2977e-11	1.345	-0.65326	20
CACNA1A	GOF	PF08763	1.0	0.331	3.9533	26
CACNA1C	GOF	PF08763	1.0	0.186	7.2836	26
CACNA1D	LOF	PF08763	1.0	0.253	6.624	26
CACNA1E	GOF	PF08763	1.0	0.221	6.7175	26
CACNA1F	LOF	PF08763				26
CACNA1G	GOF	PF00520	1.0	0.406	5.0503	26
CALM3	DN	PF13499	0.93101	0.556	3.6331	20
CAMK2A	LOF	PF08332	1.0	0.187	6.1108	22
CAMK2B	LOF	PF08332	0.99933	0.45	3.3648	22
CAMTA1	LOF	PF12796	1.0	0.227	4.7704	1
CAPN15	LOF	PF00648	1.819e-14	0.974	-2.1004	20
CAPN5	GOF	PF00168	5.467e-14	0.928	1.2087	20
CARD14	GOF	PF00619	3.0278e-38	1.222	-0.25379	3
CASK	LOF	PF00625				7
CASP10	DN	PF01335	6.3858e-09	1.046	0.61351	16
CBL	GOF	PF02262	0.00033116	0.622	1.6974	2
CC2D2A	LOF	PF15625	6.8922e-26	0.854	0.46757	2
CCBE1	LOF	PF01391	2.2995e-08	0.933	-0.014009	0
CCDC40	LOF	PF08647	2.6347e-28	0.962	0.91122	0
CCM2	LOF	PF16545	0.0010505	0.753	1.787	1
CCND2	GOF	PF02984	0.99932	0.385	2.8824	18
CCNO	LOF	PF02984	3.3991e-10	1.698	-1.8829	18
CDC42	GOF	PF00071	0.872	0.611	2.9049	22
CDC73	LOF	PF05179	0.99901	0.42	3.3697	0
CDH1	LOF	PF01049	0.85613	0.514	1.9041	35
CDH23	LOF	PF00028	2.8869e-32	0.685	1.6119	33
CDHR1	LOF	PF00028	1.0861e-16	1.004	-0.43308	33
CDK19	DN	PF00069	0.49182	0.655	2.7676	26
CDK4	GOF	PF00069	0.56668	0.61	2.2555	26
CDKL5	LOF	PF00069				26
CEBPA	LOF	PF07716	0.26038	1.372	-1.2385	4
CEP290	LOF	PF16574	1.2493e-48	1.094	0.17962	0
CEP85L	LOF	PF24555	0.00010923	0.696	0.048639	1
CERKL	LOF	PF19280	2.2725e-17	1.43	-0.14752	4
CERT1	GOF	PF00169	0.103	0.656	2.6715	5
CFAP298	LOF	PF11069	5.4028e-11	1.267	0.31379	0
CFAP418	LOF	PF14996	1.7648e-05	1.642	0.13822	0
CFC1	LOF	PF09443	0.85842	0.586	1.748	5
CHD1	LOF	PF18375	1.0	0.207	3.2892	30
CHD2	LOF	PF18375	1.0	0.174	6.0349	30
CHD4	LOF	PF08074	1.0	0.192	8.6275	30
CHD7	LOF	PF07533	1.0	0.109	3.9606	30
CHD8	LOF	PF07533	1.0	0.154	7.0384	30
CHEK2	LOF	PF00498	2.847e-14	1.399	-0.016674	0
CHM	LOF	PF00996				3
CHN1	GOF	PF00130	0.0068059	0.79	1.5173	4
CHRNA1	LOF	PF02931	5.0496e-09	0.943	1.6855	45
CHRNA4	GOF	PF02931	5.6303e-06	0.834	0.18604	45
CHRNB1	LOF	PF02931	1.0067e-13	1.047	1.2258	45
CHRNB2	GOF	PF02931	1.6832e-09	1.116	1.0117	45
CHRNG	LOF	PF02931	4.4206e-25	1.286	0.9905	45
CHST14	LOF	PF03567	0.0044188	0.917	0.41448	6
CHST3	LOF	PF00685	4.1464e-06	1.119	-0.98194	6
CHSY1	LOF	PF05679	1.0	0.357	0.87685	7
CIB2	LOF	PF13499	1.5892e-06	1.274	0.64344	8
CIC	LOF	PF16090	1.0	0.249	1.6344	50
CISD2	LOF	PF10660	0.97014	0.437	1.3254	2
CKAP2L	LOF	PF15297	0.00013949	0.72	-0.018164	1
CLCN2	LOF	PF00654	3.1071e-15	0.786	2.1216	8
CLCN7	LOF	PF00571	1.2342e-12	0.821	0.89844	8
CLCNKB	LOF	PF00571	1.4731e-22	1.072	1.2899	8
CLDN14	LOF	PF00822	0.028763	1.745	0.80695	22
CLMP	LOF	PF13895	3.1884e-05	0.792	1.1001	14
CLN3	LOF	PF02487	5.3225e-14	1.022	0.97718	0
CLN5	LOF	PF15014	3.9441e-10	1.197	0.27528	0
CLN6	LOF	PF15156	8.7664e-06	1.015	0.55889	0
CLN8	LOF	PF03798	1.9452e-06	1.183	-0.59713	5
CLRN1	LOF	PF25807	8.5957e-05	1.168	-0.36895	2
CLTC	LOF	PF00637	1.0	0.104	10.229	2
CNGA1	LOF	PF16526	4.6542e-05	0.779	1.0037	17
CNGA3	GOF	PF16526	9.6893e-14	1.126	0.50859	17
CNGB1	LOF	PF00027	1.6912e-34	0.94	-0.26888	17
CNGB3	LOF	PF00027	8.5316e-20	1.044	-0.15051	17
CNNM2	LOF	PF00571	1.0	0.312	5.0163	3
CNOT3	LOF	PF04153	1.0	0.057	3.7821	1
CNPY3	LOF	PF11938	0.00026212	0.882	0.77674	1
CNTNAP1	LOF	PF00754	1.514e-07	0.578	3.8452	35
COG7	LOF	PF10191	2.562e-05	0.651	1.302	0
COL10A1	DN	PF00386	0.01645	0.855	0.015396	23
COL11A1	LOF	PF01410	1.0	0.349	1.0145	37
COL11A2	DN	PF01410	0.00022512	0.503	3.4045	37
COL17A1	LOF	PF01391	2.3058e-48	0.909	0.79988	37
COL1A1	LOF	PF01410	1.0	0.159	5.7881	37
COL1A2	LOF	PF01410	1.0	0.339	3.5486	37
COL25A1	LOF	PF01391	5.7892e-16	1.034	0.96891	37
COL27A1	LOF	PF01410	4.2046e-07	0.539	1.2258	37
COL2A1	DN	PF01410	1.0	0.183	5.3873	37
COL3A1	DN	PF01410	1.0	0.291	4.6137	37
COL4A1	DN	PF01413	1.0	0.238	4.9877	37
COL4A3	LOF	PF01413	2.7709e-21	0.709	2.4627	37
COL4A4	LOF	PF01413	3.9265e-10	0.607	2.2347	37
COL4A5	LOF	PF01413				37
COL5A1	LOF	PF01410	1.0	0.089	4.1992	37
COL5A2	DN	PF01410	1.0	0.106	3.3665	37
COL6A2	LOF	PF01391	5.0534e-23	0.895	-0.91252	37
COL6A3	LOF	PF01391	2.2106e-13	0.564	2.1118	12
COL7A1	LOF	PF01391	1.4204e-56	0.69	4.0644	37
COLEC10	LOF	PF01391	0.0054092	1.082	0.24254	4
COMP	DN	PF11598	1.6355e-24	1.073	1.5119	5
COPB2	LOF	PF04053	1.0	0.177	3.4692	1
COQ2	LOF	PF01040	0.00017758	1.032	-1.2344	1
COQ4	LOF	PF05019	2.7347e-14	1.645	-0.084373	0
COQ9	LOF	PF08511	8.0652e-09	1.035	0.3419	0
COX15	LOF	PF02628	5.8917e-16	1.198	1.6685	0
CPAMD8	LOF	PF00207	4.7182e-30	0.825	0.68676	8
CPAP	LOF	PF07202				1
CPLANE1	LOF	PF15392	2.7962e-36	0.728	2.7342	0
CRB1	LOF	PF00008	9.3619e-17	0.776	0.63626	0
CRB2	LOF	PF00008	1.0689e-28	1.202	-2.058	3
CREBBP	LOF	PF00439	1.0	0.101	4.7763	1
CRLF1	LOF	PF09067	8.3681e-10	1.045	0.52571	23
CRX	LOF	PF00046	0.72313	0.673	1.0896	50
CRYAA	LOF	PF00525				8
CRYAB	DN	PF00525	0.005468	1.18	1.1939	8
CRYBA1	LOF	PF00030	2.5475e-05	0.987	1.2062	14
CRYBB2	LOF	PF00030	0.089294	0.765	1.7421	14
CRYGC	LOF	PF00030	0.0018396	0.941	0.24242	14
CRYGD	LOF	PF00030	6.8117e-06	1.796	0.096428	14
CRYGS	LOF	PF00030	0.019928	0.881	0.85912	14
CSF1R	LOF	PF00047	0.97537	0.485	2.4273	53
CSNK2A1	GOF	PF00069	1.0	0.274	5.3272	4
CSNK2B	LOF	PF01214	0.99996	0.237	3.7843	0
CSRP3	LOF	PF00412	1.039e-07	1.307	0.46588	2
CTCF	LOF	PF00096	1.0	0.205	4.8464	36
CTNNB1	LOF	PF00514	1.0	0.139	5.7223	4
CTNND1	LOF	PF00514	1.0	0.187	2.7344	6
CTNS	LOF	PF04193	0.0010072	0.754	0.64366	0
CUL3	LOF	PF00888	0.99999	0.365	5.156	7
CYBB	LOF	PF08022				6
CYFIP2	GOF	PF07159	1.0	0.274	6.9395	1
CYLD	LOF	PF01302	1.0	0.325	4.7125	0
CYP27A1	LOF	PF00067	1.9163e-15	1.039	0.10597	3
CYP2U1	LOF	PF00067	4.9537e-08	0.98	0.13159	15
CYP4V2	LOF	PF00067	5.1146e-17	1.126	-0.13305	12
DCAF17	LOF	PF15802	3.4768e-07	0.855	0.92354	0
DCC	LOF	PF00041	1.0	0.414	0.97556	36
DCDC2	LOF	PF03607	1.1753e-09	1.062	0.58407	2
DCHS1	LOF	PF00028	0.33407	0.491	1.5704	33
DCX	LOF	PF03607				6
DDB2	LOF	PF00400	0.00014594	0.719	2.2896	0
DDHD1	LOF	PF02862	4.5078e-05	0.642	0.71714	2
DDHD2	LOF	PF02862	1.2846e-06	0.758	1.7398	2
DDX3X	LOF	PF00270				38
DDX41	LOF	PF00270	8.2138e-10	0.768	3.1508	38
DEAF1	DN	PF01342	1.6906e-18	1.18	0.83045	0
DEGS1	LOF	PF00487	3.8147e-05	1.051	0.7947	1
DHCR24	LOF	PF01565	0.048572	0.597	2.3914	0
DHCR7	LOF	PF01222	1.1484e-12	1.087	0.76289	2
DICER1	LOF	PF00270	1.0	0.275	6.1513	0
DKC1	LOF	PF08068				0
DLG4	LOF	PF00625	1.0	0.151	4.8436	6
DLL4	LOF	PF01414	1.0	0.197	3.9013	5
DMD	LOF	PF00307				36
DMP1	LOF	PF07263	0.0022589	1.209	1.2873	6
DNAAF11	LOF	PF23602	1.6371e-07	1.018	0.38254	13
DNAAF3	LOF	PF14737	6.1143e-12	1.139	-0.80759	1
DNAH5	LOF	PF12774	8.8294e-79	0.764	2.1186	15
DNAH9	LOF	PF12774	6.7994e-74	0.775	1.7474	15
DNAJB6	DN	PF00226	0.00077061	0.92	0.090043	11
DNM1	DN	PF01031	0.99997	0.417	5.0313	6
DNM1L	DN	PF01031	0.92424	0.506	5.3293	6
DNMT3A	GOF	PF17980	3.0684e-146	1.998	1.997	4
DOCK2	LOF	PF06920	1.0	0.421	4.9199	10
DOCK6	LOF	PF06920	1.38e-40	0.87	0.83921	10
DOCK7	LOF	PF06920	8.7006e-08	0.551	3.8839	10
DPF2	DN	PF14051	1.0	0.287	3.3606	9
DPM1	LOF	PF00535	1.934e-05	1.005	0.33652	1
DPM3	LOF	PF08285	0.0094613	1.364	0.50157	0
DRAM2	LOF	PF10277	1.0566e-06	1.115	0.39663	4
DSG4	LOF	PF01049	6.2985e-24	1.061	-0.23289	6
DSP	LOF	PF00681	0.99991	0.443	2.6512	36
DYM	LOF	PF09742	7.9636e-21	1.081	0.92126	0
DYNC1I2	LOF	PF11540	2.0289e-08	0.84	3.3565	7
DYNC2H1	LOF	PF12774	1.5874e-83	0.859	0.47463	15
DYRK1A	LOF	PF00069	1.0	0.172	4.1205	12
EBF3	LOF	PF16422	1.0	0.353	3.1501	3
EBP	LOF	PF05241				16
ECEL1	LOF	PF01431	1.7007e-27	1.099	-0.41176	6
EDA	LOF	PF00229				37
EDAR	LOF	PF24979	1.243e-09	0.927	1.2955	2
EDEM3	LOF	PF01532	4.8964e-06	0.671	1.4624	6
EDN1	LOF	PF00322	0.0045322	0.84	0.71523	2
EDN3	LOF	PF00322	0.38182	0.696	-0.0517	2
EDNRA	GOF	PF00001	0.99908	0.424	3.9853	15
EDNRB	LOF	PF00001	0.49438	0.585	1.8888	15
EEF1A2	GOF	PF22594	0.99995	0.314	6.0642	18
EFNB1	LOF	PF00812				7
EFTUD2	LOF	PF00679	1.0	0.145	5.3671	18
EGFR	GOF	PF00757	0.98251	0.475	3.0635	53
EGLN1	GOF	PF13640	0.012898	0.739	0.91454	2
EGR2	LOF	PF11928	0.99692	0.401	2.7999	4
EHMT1	LOF	PF12796	1.0	0.159	1.9902	19
EIF2S3	LOF	PF09173				18
EIF5A	LOF	PF01287	0.99865	0.278	4.4862	2
ELAC2	LOF	PF23023	2.8305e-27	1.02	-0.074804	1
ELANE	DN	PF00089	0.00041675	1.245	-0.55026	6
ELOVL4	LOF	PF01151	0.12588	0.649	1.718	6
ENG	LOF	PF26060	1.0	0.374	1.285	2
ENPP1	LOF	PF01223	1.7403e-05	0.729	1.2082	6
EOGT	LOF	PF04577	4.8218e-07	1.121	-0.4678	1
EP300	LOF	PF00439	1.0	0.164	2.6711	1
EPG5	LOF	PF26103	1.6929e-14	0.58	1.7487	2
EPHA2	LOF	PF14575	2.8105e-07	0.652	2.667	53
EPHB4	LOF	PF14575	4.3123e-06	0.645	1.6946	53
EPRS1	LOF	PF21972	0.019945	0.549	1.9921	2
ERCC6	LOF	PF00271	1.2087e-23	0.803	1.7245	30
ERF	LOF	PF00178	0.99787	0.443	1.658	28
ESPN	LOF	PF12796	7.2662e-24	1.307	-1.0887	1
ESR2	DN	PF12497	5.9579e-10	1.002	-0.14268	8
ETV6	DN	PF00178	0.99891	0.44	2.2005	28
EVC2	LOF	PF12297	1.7773e-47	1.092	-1.7856	1
EXOSC9	LOF	PF01138	1.1629e-07	1.121	-0.059334	2
EXT1	LOF	PF03016	1.0	0.339	2.7372	4
EXT2	LOF	PF03016	1.2232e-10	0.775	2.1935	4
EYA1	LOF	PF00702	1.0	0.291	1.3988	3
EYA4	LOF	PF00702	0.86351	0.536	1.2878	3
EYS	LOF	PF00008	6.4354e-50	0.96	-0.45186	6
F12	GOF	PF00008	2.9444e-26	1.286	-0.22747	16
FA2H	LOF	PF00173	0.0053396	0.759	-0.88456	0
FAM111A	GOF	PF13365	0.16155	1.89	1.0515	1
FANCA	LOF	PF24783	1.7065e-87	1.344	-6.4686	0
FANCC	LOF	PF02106	2.6625e-14	1.022	0.41238	0
FANCF	LOF	PF11107			-0.4993	0
FANCL	LOF	PF11793	1.6815e-17	1.444	-0.81485	0
FANCM	LOF	PF00270	2.395e-13	0.754	0.70017	0
FAR1	LOF	PF07993	0.57071	0.595	3.7127	1
FAS	DN	PF00531	0.99961	0.372	1.2561	22
FAT4	LOF	PF00028	1.0	0.317	2.1425	6
FBLN5	LOF	PF12662	0.25042	0.58	2.2094	6
FBN1	LOF	PF12662	1.0	0.105	8.1987	2
FBN2	DN	PF12662	1.0	0.312	3.2951	2
FBXO11	LOF	PF13229	1.0	0.215	4.098	1
FEZF1	LOF	PF00096	0.99871	0.42	1.3867	28
FGD1	LOF	PF01363				10
FGF10	LOF	PF00167	0.99903	0.267	1.4724	21
FGF12	GOF	PF00167	0.14712	0.932	1.0243	21
FGF13	GOF	PF00167				21
FGF14	LOF	PF00167	0.97977	0.482	1.8427	21
FGF3	LOF	PF00167	0.0015771	1.815	-1.951	21
FGF9	LOF	PF00167	0.99254	0.418	2.1479	21
FGFR1	GOF	PF07679	1.0	0.274	4.2752	53
FGFR2	GOF	PF07679	1.0	0.278	4.4473	53
FGFR3	GOF	PF21165	0.99865	0.458	1.1956	53
FH	LOF	PF10415	0.26752	0.599	2.072	2
FHL1	LOF	PF00412				59
FIG4	LOF	PF02383	1.3237e-16	0.966	1.7961	13
FKTN	LOF	PF19737	1.5042e-05	1.022	0.12731	0
FLCN	LOF	PF11704	0.9891	0.487	1.9669	0
FLNA	LOF	PF00307				36
FLNB	LOF	PF00307	0.00057489	0.504	4.5491	36
FLNC	LOF	PF00307	1.0	0.424	5.9661	36
FLT4	LOF	PF07679	1.0	0.265	3.0272	53
FLVCR1	LOF	PF07690	6.6916e-07	1.013	-0.1071	4
FLVCR2	LOF	PF07690	3.3589e-06	0.9	0.61075	4
FMR1	GOF	PF05641				2
FOXC1	LOF	PF00250	0.054624	1.276	-3.6444	41
FOXC2	GOF	PF00250	0.00066521	1.807	-3.0645	41
FOXE1	LOF	PF00250	0.0099304	1.926	-2.0319	41
FOXE3	LOF	PF00250	0.11644	1.935	-3.0438	41
FOXF1	LOF	PF00250	0.427	0.685	0.30525	41
FOXG1	LOF	PF00250	0.99832	0.36	3.7963	4
FOXL2	LOF	PF00250	0.028008	1.913	-0.79505	41
FOXN1	LOF	PF00250	0.99877	0.442	0.81588	41
FOXP1	DN	PF00250	1.0	0.279	2.6573	41
FOXP2	LOF	PF00250	1.0	0.157	3.1178	4
FOXP3	LOF	PF00250				41
FOXRED1	LOF	PF01266	2.0617e-11	1.118	0.86475	10
FREM1	LOF	PF16184	2.6459e-52	1.157	-4.442	7
FRMD7	LOF	PF08736				10
FTL	LOF	PF00210	2.0921e-06	1.552	1.1926	3
FTSJ1	LOF	PF01728				2
FUCA1	LOF	PF01120	3.6291e-15	1.162	0.55825	1
FUS	GOF	PF00076	1.0	0.104	2.8346	2
FUT8	LOF	PF19745	0.0026169	0.667	2.2516	0
FXYD2	DN	PF02038	0.0079463	1.239	-0.31803	6
FZD4	LOF	PF01534	0.36307	0.614	1.5152	15
FZD5	DN	PF01534	0.90108	0.551	2.073	15
FZD6	LOF	PF01534	1.6785e-11	1.2	2.0793	15
G6PC1	LOF	PF01569	3.7042e-05	0.963	1.173	2
GABBR2	DN	PF00003	0.99997	0.394	4.1068	2
GABRA1	DN	PF02931	0.99999	0.282	4.2735	45
GABRA5	DN	PF02931	0.79404	0.56	3.2633	45
GABRG2	LOF	PF02931	0.99942	0.428	3.9288	45
GAS2L2	LOF	PF00307	8.2195e-05	0.884	-0.19915	36
GATA2	LOF	PF00320	0.99993	0.335	1.7347	7
GATA3	LOF	PF00320	0.99953	0.376	1.3283	7
GATA4	LOF	PF00320	0.99122	0.468	-1.4458	7
GATA6	GOF	PF00320	0.95497	0.527	-1.0918	7
GATAD2B	LOF	PF00320	1.0	0.236	3.9897	1
GBA1	LOF	PF02055				0
GBA2	LOF	PF04685	4.857e-13	0.773	1.9266	0
GCNT2	LOF	PF02485	7.7917e-10	1.369	-1.2775	8
GCSH	LOF	PF01597	0.33443	1.537	-1.1056	0
GDF5	LOF	PF00019	0.025782	0.71	1.0668	31
GEMIN5	LOF	PF23770	2.9965e-18	0.839	-0.026735	9
GFAP	GOF	PF00038	2.8861e-09	0.991	1.8993	68
GFI1	DN	PF00096	0.048531	0.715	0.70931	28
GFM1	LOF	PF00679	3.6978e-10	0.829	1.1282	18
GGCX	LOF	PF05090	2.2339e-15	0.888	1.7017	0
GHR	LOF	PF09067	0.15729	0.65	0.17358	23
GJA1	LOF	PF00029	0.96386	0.522	3.3847	20
GJB2	LOF	PF00029	3.5966e-15	1.965	0.4439	20
GK	LOF	PF02782				6
GLA	LOF	PF16499				3
GLI3	LOF	PF00096	1.0	0.298	1.066	14
GLRA1	LOF	PF02931	1.979e-07	0.975	2.4146	45
GLRB	LOF	PF02931	0.46345	0.746	0.57521	45
GLUD1	GOF	PF00208	0.016085	0.748	2.9685	18
GMPPA	LOF	PF25087	3.3672e-10	1.088	1.1515	3
GNA11	GOF	PF00503	0.99978	0.38	3.8795	15
GNA14	GOF	PF00503	2.6525e-14	1.512	-0.086688	15
GNAO1	GOF	PF00503	1.0	0.105	4.5551	15
GNAQ	GOF	PF00503	0.5787	0.818	2.6607	15
GNAT1	LOF	PF00503	5.7987e-11	1.138	1.5959	15
GNAT2	LOF	PF00503	9.0816e-06	1.176	1.4883	15
GNB1	GOF	PF25391	0.9976	0.222	3.4867	4
GNPAT	LOF	PF01553	0.87864	0.572	1.3747	2
GORAB	LOF	PF04949	0.0054121	0.802	0.29956	0
GPAA1	LOF	PF04114	2.3103e-15	1.077	0.42679	0
GPC3	LOF	PF01153				5
GPC6	LOF	PF01153	0.99996	0.384	1.3324	5
GPR143	LOF	PF02101				0
