gene	mechanism	mechanism_3class	P_GOF_lr_full	P_DN_lr_full	P_LOF_lr_full	pred_class_lr_full
APOB	DN	DN	0.05513763201453945	0.3745048088070978	0.5703575591783628	LOF
APOC2	LOF	LOF	0.22795110893153056	0.6198151538227956	0.15223373724567382	DN
APRT	AR					
APTX	LOF	LOF	0.054149556786614234	0.07872754954335721	0.8671228936700286	LOF
AR	DN	DN	0.11679390464918037	0.0012601337576657499	0.8819459615931539	LOF
ARCN1	LOF	LOF	0.07887713477403313	0.04404144960723138	0.8770814156187355	LOF
ARFGEF1	LOF	LOF	0.5270943606140424	0.39345681926551446	0.07944882012044302	GOF
ARFGEF2	LOF	LOF	0.19238903302720534	0.1755485733500923	0.6320623936227023	LOF
ARG1	AR					
ARHGAP31	LOF	LOF	0.44341995837724657	0.24682419635323088	0.30975584526952255	GOF
ARHGAP35	LOF	LOF	0.09943381340557003	0.052893163925339354	0.8476730226690906	LOF
ARHGDIA	AR					
ARHGEF9	LOF	LOF	0.009088217033518028	0.00011322479107268521	0.9907985581754092	LOF
ARID1A	HI	LOF	0.10544685769562254	0.2798665454342071	0.6146865968701704	LOF
ARID1B	HI	LOF	0.11761122186375121	0.26210238347389003	0.6202863946623586	LOF
ARID2	LOF	LOF	0.19430432643020942	0.02453146555174983	0.7811642080180409	LOF
ARL2BP	LOF	LOF	0.13476085740697483	0.08793871519675096	0.7773004273962743	LOF
ARL6	AR					
ARMC9	LOF	LOF	0.15252282754274268	0.227920427156549	0.6195567453007084	LOF
ARPC1B	AR					
ARSA	AR					
ARSB	AR					
ARSL	LOF	LOF	0.20422904644725187	0.24703208621577236	0.5487388673369757	LOF
ARX	LOF	LOF	0.18203679509389764	0.0028502103342228995	0.8151129945718796	LOF
ASAH1	AR					
ASL	AR					
ASNS	AR					
ASPA	AR					
ASPH	AR					
ASPM	LOF	LOF	0.04538110510826078	0.04551764362302087	0.9091012512687184	LOF
ASRGL1	LOF	LOF	0.11732697091827596	0.2681534275945986	0.6145196014871254	LOF
ASS1	AR					
ASXL1	LOF	LOF	0.09561955150850938	0.054127733939324796	0.8502527145521658	LOF
ASXL2	LOF	LOF	0.6852955783446879	0.02993981065286232	0.2847646110024497	GOF
ASXL3	LOF	LOF	0.0488364051416191	0.006650687802452108	0.9445129070559287	LOF
ATAD3A	DN	DN	0.25825778199851623	0.18832974531052465	0.5534124726909592	LOF
ATF6	LOF	LOF	0.0789903092653588	0.13595603950510296	0.7850536512295382	LOF
ATG5	AR					
ATG7	LOF	LOF	0.19059656761026897	0.2255289497704235	0.5838744826193075	LOF
ATIC	AR					
ATL1	DN	DN	0.43221605379115363	0.38473940177765276	0.18304454443119367	GOF
ATL3	DN	DN	0.3750181070236858	0.3439546965704775	0.2810271964058367	GOF
ATM	AR					
ATOH7	LOF	LOF	0.34761695243676266	0.07606158405980039	0.5763214635034369	LOF
ATP1A2	GOF	GOF	0.4934073283007732	0.4123505475760155	0.09424212412321117	GOF
ATP1A3	GOF	GOF	0.49810558938688504	0.479914658791867	0.021979751821247902	GOF
ATP2A1	AR					
ATP2A2	GOF	GOF	0.4932330468891356	0.48933205735526064	0.017434895755603738	GOF
ATP2C1	LOF	LOF	0.5079511422355308	0.4717948562321563	0.020254001532312813	GOF
ATP5F1A	AR					
ATP5F1D	AR					
ATP5F1E	AR					
ATP6V0A2	LOF	LOF	0.02157520628293035	0.013348323943888855	0.9650764697731807	LOF
ATP6V0C	LOF	LOF	0.4260336247737676	0.33455054987823357	0.23941582534799882	GOF
ATP6V1B1	AR					
ATP6V1B2	DN	DN	0.4140717621862437	0.49457825921616205	0.0913499785975942	DN
ATP6V1E1	AR					
ATP7A	LOF	LOF	0.29010804049760774	0.03637514923615517	0.673516810266237	LOF
ATP7B	AR					
ATP8A2	AR					
ATP8B1	LOF	LOF	0.4273519591379654	0.37640985754400363	0.19623818331803092	GOF
ATR	LOF	LOF	0.3980663290868598	0.24224911569471208	0.35968455521842807	GOF
ATRX	LOF	LOF	0.10098441894454037	0.07913748486991906	0.8198780961855405	LOF
ATXN7	DN	DN	0.038870199923500146	0.06413989886779851	0.8969899012087013	LOF
AUH	AR					
AURKC	AR					
AUTS2	LOF	LOF	0.0917549071444055	0.20303197218969496	0.7052131206658996	LOF
B3GALNT2	LOF	LOF	0.11249472567157681	0.04485550599732925	0.842649768331094	LOF
B3GALT6	LOF	LOF	0.03356411333397137	0.12377361371092746	0.8426622729551011	LOF
B3GAT3	AR					
B3GLCT	LOF	LOF	0.07817753485756779	0.27630817856568846	0.6455142865767438	LOF
B4GALT1	LOF	LOF	0.0776375004834996	0.22301592925640998	0.6993465702600904	LOF
B4GALT7	AR					
B9D1	LOF	LOF	0.017971248609742783	0.006941099874300335	0.9750876515159568	LOF
BAG3	HI	LOF	0.08341638339794287	0.3451561366086449	0.5714274799934121	LOF
BANF1	AR					
BAP1	LOF	LOF	0.14526094038210038	0.35275734283321714	0.5019817167846825	LOF
BARD1	LOF	LOF	0.021400109267297768	0.027159492929100304	0.9514403978036018	LOF
BBIP1	LOF	LOF	0.05416763026724087	0.02806259795534585	0.9177697717774133	LOF
BBS1	LOF	LOF	0.2147333923934336	0.11997891395089119	0.6652876936556753	LOF
BBS10	LOF	LOF	0.4394205937225323	0.07931084394167522	0.48126856233579246	LOF
BBS12	LOF	LOF	0.3294630982263305	0.13034413015685456	0.5401927716168149	LOF
BBS2	AR					
BBS4	AR					
BBS5	AR					
BBS7	AR					
BBS9	AR					
BCAP31	LOF	LOF	0.029058355231811543	0.0005849889020163846	0.970356655866172	LOF
BCAS3	LOF	LOF	0.19182942482447293	0.07788412127217437	0.7302864539033528	LOF
BCAT2	AR					
BCKDHA	AR					
BCKDHB	AR					
BCL10	AR					
BCL11A	HI	LOF	0.29827373127874923	0.34111556278035976	0.360610705940891	LOF
BCL11B	DN	DN	0.45399911967138984	0.44038890076532017	0.10561197956329003	GOF
BCOR	LOF	LOF	0.27594860592646475	0.020295557756489918	0.7037558363170453	LOF
BCS1L	AR					
BEST1	LOF	LOF	0.25662345701615075	0.3451592567937075	0.39821728619014174	LOF
BFSP1	LOF	LOF	0.6218165576237711	0.06422111195933254	0.31396233041689636	GOF
BGN	LOF	LOF	0.4173880021171813	0.2138205598913655	0.36879143799145314	GOF
BHLHA9	DN	DN	0.38255893961684273	0.037793886289866255	0.5796471740932909	LOF
BICRA	LOF	LOF	0.006021056701729906	0.059126223752399856	0.9348527195458701	LOF
BIN1	AR					
BLM	AR					
BLOC1S3	LOF	LOF	0.0970031887161225	0.1433420857097569	0.7596547255741205	LOF
BLOC1S6	LOF	LOF	0.015644198543084138	0.033131312878040865	0.951224488578875	LOF
BMP1	AR					
BMP2	LOF	LOF	0.41316397752320894	0.3915811959572187	0.19525482651957235	GOF
BMP4	LOF	LOF	0.2509802323060062	0.3401999231075926	0.40881984458640114	LOF
BMPER	LOF	LOF	0.33704978042696576	0.10826797184090334	0.554682247732131	LOF
BMPR1A	HI	LOF	0.35622021668708553	0.20212091317914932	0.4416588701337651	LOF
BMPR1B	LOF	LOF	0.447248073352271	0.3900105511883048	0.16274137545942408	GOF
BMPR2	DN	DN	0.306894873297194	0.16480779787892152	0.5282973288238846	LOF
BNC2	LOF	LOF	0.3829307420878447	0.45177594498988194	0.16529331292227337	DN
BOLA3	AR					
BPGM	AR					
BPNT2	LOF	LOF	0.002056838947285048	0.006904707186408523	0.9910384538663063	LOF
BPTF	LOF	LOF	0.22203625810432637	0.030889183191101458	0.7470745587045722	LOF
BRAF	GOF	GOF	0.5175584081325767	0.45693863480944064	0.025502957057982615	GOF
BRAT1	LOF	LOF	0.2870091668141054	0.25363142361732516	0.4593594095685696	LOF
BRCA1	AR					
BRCA2	LOF	LOF	0.08049775101318946	0.10372688316918845	0.815775365817622	LOF
BRD4	LOF	LOF	0.1680381049905908	0.18292108368271132	0.649040811326698	LOF
BRF1	LOF	LOF	0.03897725421243474	0.1314834935557836	0.8295392522317816	LOF
BRIP1	LOF	LOF	0.1372366361314522	0.023202974510553608	0.8395603893579943	LOF
BRPF1	LOF	LOF	0.3441942510995719	0.29110342206648476	0.3647023268339434	LOF
BRSK2	LOF	LOF	0.23736863387922405	0.08594329915091248	0.6766880669698634	LOF
BRWD3	LOF	LOF	0.05587932734486928	0.017171196366992925	0.9269494762881378	LOF
BSCL2	LOF	LOF	0.15082612247209384	0.18100956928317366	0.6681643082447325	LOF
BSND	LOF	LOF	0.27262381188602985	0.31165727755974726	0.4157189105542229	LOF
BTD	LOF	LOF	0.4004422060486438	0.23268136810951878	0.36687642584183755	GOF
BUB1B	LOF	LOF	0.04785549837135184	0.03845507972901457	0.9136894218996336	LOF
C12ORF65	AR					
C19ORF12	LOF	LOF	0.0012212509881096409	0.0008960614682391095	0.9978826875436512	LOF
C1QA	AR					
C1QB	AR					
C1QBP	AR					
C1QC	AR					
C1R	GOF	GOF	0.37209757222800693	0.49458655213794617	0.133315875634047	DN
C1S	GOF	GOF	0.2377132297162252	0.495177052949364	0.26710971733441086	DN
C2CD3	LOF	LOF	0.360156196275667	0.29422352448196554	0.34562027924236755	GOF
C3	AR					
CA12	AR					
CA2	AR					
CA5A	LOF	LOF	0.3694909765113685	0.32559717159787815	0.30491185189075337	GOF
CA8	AR					
CABP2	LOF	LOF	0.508838355964079	0.26091393959948705	0.23024770443643391	GOF
CABP4	LOF	LOF	0.2984750955812547	0.17600572979182405	0.5255191746269213	LOF
CACNA1A	GOF	GOF	0.5255471647157454	0.31590300386224024	0.15854983142201437	GOF
CACNA1B	LOF	LOF	0.11627016419725063	0.07753278330208915	0.8061970525006602	LOF
CACNA1C	GOF	GOF	0.41008459641222683	0.4698424214047299	0.12007298218304328	DN
CACNA1D	LOF	LOF	0.48433633875797955	0.4832797034049075	0.03238395783711296	GOF
CACNA1E	GOF	GOF	0.4223873265213204	0.4445610005105412	0.13305167296813844	DN
CACNA1F	LOF	LOF	0.43422052513736875	0.1884473061867681	0.37733216867586306	GOF
CACNA1G	GOF	GOF	0.4851684220637311	0.453913692095469	0.06091788584079991	GOF
CACNA2D4	LOF	LOF	0.0334516771365116	0.04268278770077826	0.9238655351627101	LOF
CAD	AR					
CALM3	DN	DN	0.5590042497937764	0.42064752922519966	0.020348220981023863	GOF
CAMK2A	LOF	LOF	0.47599092090984374	0.49163321884599315	0.03237586024416316	DN
CAMK2B	LOF	LOF	0.4768640545919858	0.480020969631158	0.04311497577685619	DN
CAMTA1	LOF	LOF	0.22387989654233426	0.21402938310295938	0.5620907203547064	LOF
CANT1	AR					
CAPN1	AR					
CAPN15	LOF	LOF	0.027044246009048006	0.18558966484030745	0.7873660891506445	LOF
CAPN5	GOF	GOF	0.4059333828525346	0.3099555879863524	0.28411102916111297	GOF
CARD14	GOF	GOF	0.43763119621319274	0.17739209110806298	0.38497671267874417	GOF
CARD9	AR					
CARS1	LOF	LOF	0.00500771368738309	0.01908591638131282	0.9759063699313041	LOF
CARS2	LOF	LOF	0.04246654787993835	0.09565120749688323	0.8618822446231785	LOF
CASK	LOF	LOF	0.41943404116131455	0.1459848233227075	0.43458113551597805	LOF
CASP10	DN	DN	0.0437227505383792	0.0728847250773372	0.8833925243842837	LOF
CASQ2	AR					
CBL	GOF	GOF	0.4462430393112457	0.15158303409429946	0.4021739265944547	GOF
CBLIF	AR					
CBS	AR					
CC2D1A	LOF	LOF	0.05004031732102696	0.0723604449489465	0.8775992377300265	LOF
CC2D2A	LOF	LOF	0.16351215202096178	0.1167116971485253	0.719776150830513	LOF
CCBE1	LOF	LOF	0.30435012116814697	0.13296090609578606	0.562688972736067	LOF
CCDC32	LOF	LOF	0.00642460458458393	0.013528459137848581	0.9800469362775676	LOF
CCDC39	LOF	LOF	0.021347412928622925	0.014515020614257093	0.9641375664571201	LOF
CCDC40	LOF	LOF	0.33919545297982606	0.20375102779513293	0.45705351922504095	LOF
CCDC47	LOF	LOF	0.00880865731331852	0.029580276856276712	0.9616110658304049	LOF
CCDC8	LOF	LOF	0.0477724651819869	0.03257613618646377	0.9196513986315494	LOF
CCDC88C	LOF	LOF	0.059324111456337196	0.15721907143746702	0.7834568171061959	LOF
CCM2	LOF	LOF	0.3038565997906296	0.32047517976307305	0.3756682204462972	LOF
CCND2	GOF	GOF	0.4075604943729715	0.48418710057885134	0.10825240504817728	DN
CCNO	LOF	LOF	0.4888449942568359	0.1398939807119844	0.37126102503117975	GOF
CCNQ	LOF	LOF	0.0020062042197409808	2.6868872110433092e-05	0.9979669269081485	LOF
CD151	LOF	LOF	0.18184077387634462	0.35638979174588126	0.4617694343777742	LOF
CD19	AR					
CD247	AR					
CD27	AR					
CD36	AR					
CD40	AR					
CD55	AR					
CD59	AR					
CD79B	AR					
CD8A	AR					
CDC14A	LOF	LOF	0.20969284204461	0.2381326604151882	0.5521744975402018	LOF
CDC42	GOF	GOF	0.41888110751575247	0.4970551960928156	0.084063696391432	DN
CDC45	LOF	LOF	0.26130503727057613	0.15211544768348537	0.5865795150459385	LOF
CDC6	LOF	LOF	0.16083076770481497	0.13937752805721834	0.6997917042379665	LOF
CDC73	LOF	LOF	0.17301447385103988	0.20744724909047943	0.6195382770584806	LOF
CDH1	HI	LOF	0.2591221290708652	0.5367901432243236	0.2040877277048113	DN
CDH23	LOF	LOF	0.463005286406924	0.16524332139513276	0.3717513921979434	GOF
CDH3	AR					
CDHR1	LOF	LOF	0.3741117218850325	0.3045347557106707	0.32135352240429677	GOF
CDK19	DN	DN	0.41204488152120655	0.3426821107681285	0.2452730077106649	GOF
CDK4	GOF	GOF	0.5227235255858435	0.21197965932326127	0.26529681509089525	GOF
CDK5RAP2	AR					
CDK6	AR					
CDKL5	LOF	LOF	0.10580025788409347	0.11384135091773252	0.780358391198174	LOF
CDKN1B	LOF	LOF	0.013559821153817845	0.00931501079171037	0.9771251680544718	LOF
CDKN1C	LOF	LOF	0.10606695992874368	0.0473640861918223	0.8465689538794341	LOF
CDKN2A	LOF	LOF	0.04548822212362673	0.06863318631730801	0.8858785915590652	LOF
CDT1	AR					
CEBPA	LOF	LOF	0.5897419577035743	0.2380049705643098	0.172253071732116	GOF
CELF2	LOF	LOF	0.1053398974740911	0.22693331254714907	0.6677267899787598	LOF
CENPE	AR					
CENPF	LOF	LOF	0.1396249786792467	0.21846015647725825	0.6419148648434949	LOF
CEP104	LOF	LOF	0.09038661018324731	0.06332461470522067	0.8462887751115319	LOF
CEP120	AR					
CEP135	LOF	LOF	0.057239735831430195	0.05632563802055329	0.8864346261480165	LOF
CEP152	LOF	LOF	0.23218986438535325	0.10805542847353015	0.6597547071411166	LOF
CEP164	LOF	LOF	0.020314694027696034	0.005765532106542401	0.9739197738657617	LOF
CEP290	LOF	LOF	0.10638616911909089	0.06619001388954553	0.8274238169913635	LOF
CEP41	LOF	LOF	0.021223579219805347	0.06497412756895854	0.9138022932112361	LOF
CEP57	LOF	LOF	0.03496230003547191	0.04611463152619236	0.9189230684383357	LOF
CEP63	LOF	LOF	0.061157415221954635	0.03842045079861489	0.9004221339794305	LOF
CEP78	LOF	LOF	0.022393348326374584	0.013064972236371231	0.9645416794372542	LOF
CEP83	LOF	LOF	0.007087309717297631	0.008130492520090965	0.9847821977626114	LOF
CEP85L	LOF	LOF	0.0844689911679415	0.20932565064922803	0.7062053581828305	LOF
CERKL	LOF	LOF	0.3614012541138222	0.21846145376252518	0.4201372921236526	LOF
CERT1	GOF	GOF	0.4803455326007484	0.36062941141747773	0.1590250559817739	GOF
CFAP298	LOF	LOF	0.11933143380423782	0.3144393030064574	0.5662292631893048	LOF
CFAP300	LOF	LOF	0.14689813133682184	0.15001641098783725	0.7030854576753409	LOF
CFAP410	LOF	LOF	0.005142202346341067	0.010055497491694015	0.9848023001619649	LOF
CFAP418	LOF	LOF	0.008887467370053345	0.0025097226238078624	0.9886028100061388	LOF
CFB	AR					
CFC1	LOF	LOF	0.5470306453227467	0.34298784282576694	0.10998151185148633	GOF
CFI	AR					
CFL2	AR					
CFTR	AR					
CHAMP1	LOF	LOF	0.005699148453550381	0.09386734862399168	0.9004335029224579	LOF
CHAT	AR					
CHD1	LOF	LOF	0.48764452737284664	0.4096373520218191	0.10271812060533429	GOF
CHD2	LOF	LOF	0.25771503154574726	0.39387406850288975	0.34841089995136293	DN
CHD4	LOF	LOF	0.5707007040349755	0.3815617523260983	0.047737543638926204	GOF
CHD7	HI	LOF	0.4618073233972591	0.33332381086009727	0.20486886574264374	GOF
CHD8	LOF	LOF	0.510273393446223	0.2751242062943358	0.21460240025944113	GOF
CHEK2	LOF	LOF	0.08573093677436681	0.07764668468355566	0.8366223785420775	LOF
CHKB	AR					
CHM	LOF	LOF	0.07458856761520379	0.00015293750644700097	0.9252584948783492	LOF
CHMP1A	LOF	LOF	0.014226269078104379	0.02205578416527127	0.9637179467566243	LOF
CHN1	GOF	GOF	0.5222712674660784	0.20094233914195492	0.27678639339196665	GOF
CHRDL1	LOF	LOF	0.22509377403455832	0.03135163318764154	0.7435545927778001	LOF
CHRNA1	LOF	LOF	0.42176270820501804	0.4312334622651553	0.1470038295298266	DN
CHRNA3	LOF	LOF	0.41372661495177215	0.2523926525959039	0.3338807324523239	GOF
CHRNA4	GOF	GOF	0.6792064026202352	0.2549592182072085	0.06583437917255623	GOF
CHRNB1	LOF	LOF	0.5182841879376427	0.33491691163852266	0.14679890042383442	GOF
CHRNB2	GOF	GOF	0.548677868714772	0.2775651563751713	0.17375697491005665	GOF
CHRNG	LOF	LOF	0.4659750681357805	0.3850270450990755	0.14899788676514408	GOF
CHST14	LOF	LOF	0.20353467053244848	0.16891593499882518	0.6275493944687264	LOF
CHST3	LOF	LOF	0.2623820284253955	0.17037870920355422	0.5672392623710504	LOF
CHSY1	LOF	LOF	0.08777363055864933	0.24051141887545932	0.6717149505658914	LOF
CHUK	LOF	LOF	0.21550150111602293	0.13202942447766508	0.6524690744063121	LOF
CIB2	LOF	LOF	0.6378781191462445	0.18670498058144946	0.17541690027230614	GOF
CIC	LOF	LOF	0.1293488632929354	0.379257455749899	0.49139368095716557	LOF
CISD2	LOF	LOF	0.2580425284876609	0.5139135037592669	0.2280439677530722	DN
CKAP2L	LOF	LOF	0.13095198490232599	0.223079460106459	0.6459685549912151	LOF
CLCN2	LOF	LOF	0.36555793523154456	0.27418994528115215	0.36025211948730335	GOF
CLCN7	LOF	LOF	0.41891585012587995	0.21086752166390146	0.37021662821021856	GOF
CLCNKB	LOF	LOF	0.2691791525262535	0.24288309362626248	0.48793775384748395	LOF
CLDN1	LOF	LOF	0.018578781103475574	0.04554665516990344	0.9358745637266209	LOF
CLDN14	LOF	LOF	0.2968763967333281	0.2787707942170704	0.4243528090496015	LOF
CLDN19	AR					
CLMP	LOF	LOF	0.25026231975556745	0.19432266517996122	0.5554150150644712	LOF
